county_fips,county_name,nws_office,nws_office_name,advisory_hi_f,extreme_warning_hi_f,threshold_source,verification_status,crosswalk_method
48209,Hays,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48325,Medina,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48345,Motley,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48485,Wichita,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48329,Midland,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48469,Victoria,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48457,Tyler,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48145,Falls,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48377,Presidio,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48489,Willacy,BRO,Brownsville/Rio Grande Valley,111,115,weather.gov/bro/mapcolors,documented,nearest_office_approx
48303,Lubbock,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48213,Henderson,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48471,Walker,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48167,Galveston,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48201,Harris,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48115,Dawson,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48371,Pecos,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48347,Nacogdoches,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48187,Guadalupe,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48439,Tarrant,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48239,Jackson,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48437,Swisher,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48431,Sterling,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48495,Winkler,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48163,Frio,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48295,Lipscomb,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48087,Collingsworth,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48089,Colorado,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48497,Wise,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48173,Glasscock,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48419,Shelby,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48093,Comanche,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48053,Burnet,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48179,Gray,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48229,Hudspeth,EPZ,El Paso/Santa Teresa,105,110,NWS Southern Region standard,sr_standard,nearest_office_approx
48067,Cass,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48139,Ellis,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48097,Cooke,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48491,Williamson,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48079,Cochran,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48467,Van Zandt,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48129,Donley,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48253,Jones,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48185,Grimes,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48235,Irion,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48349,Navarro,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48047,Brooks,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48111,Dallam,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48231,Hunt,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48335,Mitchell,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48499,Wood,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48075,Childress,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48243,Jeff Davis,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48337,Montague,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48049,Brown,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48207,Haskell,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48151,Fisher,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48095,Concho,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48081,Coke,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48373,Polk,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48101,Cottle,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48503,Young,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48287,Lee,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48073,Cherokee,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48191,Hall,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48221,Hood,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48009,Archer,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48023,Baylor,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48405,San Augustine,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48313,Madison,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48331,Milam,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48389,Reeves,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48355,Nueces,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48063,Camp,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48161,Freestone,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48399,Runnels,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48443,Terrell,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48117,Deaf Smith,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48315,Marion,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48291,Liberty,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48241,Jasper,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48195,Hansford,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48071,Chambers,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48199,Hardin,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48085,Collin,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48039,Brazoria,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48447,Throckmorton,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48021,Bastrop,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48415,Scurry,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48135,Ector,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48293,Limestone,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48121,Denton,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48387,Red River,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48321,Matagorda,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48197,Hardeman,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48363,Palo Pinto,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48297,Live Oak,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48421,Sherman,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48463,Uvalde,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48017,Bailey,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48109,Culberson,EPZ,El Paso/Santa Teresa,105,110,NWS Southern Region standard,sr_standard,nearest_office_approx
48013,Atascosa,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48493,Wilson,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48427,Starr,BRO,Brownsville/Rio Grande Valley,111,115,weather.gov/bro/mapcolors,documented,nearest_office_approx
48113,Dallas,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48267,Kimble,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48307,McCulloch,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48105,Crockett,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48217,Hill,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48263,Kent,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48141,El Paso,EPZ,El Paso/Santa Teresa,105,110,NWS Southern Region standard,sr_standard,nearest_office_approx
48301,Loving,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48125,Dickens,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48283,La Salle,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48279,Lamb,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48015,Austin,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48233,Hutchinson,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48465,Val Verde,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48423,Smith,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48395,Robertson,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48171,Gillespie,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48269,King,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48451,Tom Green,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48501,Yoakum,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48425,Somervell,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48261,Kenedy,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48033,Borden,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48411,San Saba,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48051,Burleson,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48025,Bee,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48455,Trinity,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48069,Castro,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48043,Brewster,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48183,Gregg,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48475,Ward,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
48487,Wilbarger,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48193,Hamilton,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48429,Stephens,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48285,Lavaca,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48035,Bosque,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48175,Goliad,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48393,Roberts,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48059,Callahan,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48379,Rains,FWD,Fort Worth/Dallas,105,110,weather.gov/fwd/heat3,documented_advisory,nearest_office_approx
48343,Morris,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48281,Lampasas,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48459,Upshur,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48483,Wheeler,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48409,San Patricio,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48341,Moore,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48479,Webb,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48031,Blanco,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48351,Newton,LCH,Lake Charles,108,113,humid SE-TX edge (approx),approximate,nearest_office_approx
48219,Hockley,LUB,Lubbock,105,110,NWS LUB (approx),approximate,nearest_office_approx
48365,Panola,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48001,Anderson,SHV,Shreveport,108,113,humid E-TX coastal-like (approx),approximate,nearest_office_approx
48061,Cameron,BRO,Brownsville/Rio Grande Valley,111,115,weather.gov/bro/mapcolors,documented,nearest_office_approx
48339,Montgomery,HGX,Houston/Galveston,108,113,weather.gov/hgx/WWA_criteria,documented,nearest_office_approx
48299,Llano,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48319,Mason,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48441,Taylor,SJT,San Angelo,105,110,SR standard (approx),approximate,nearest_office_approx
48205,Hartley,AMA,Amarillo,103,108,NWS AMA high-plains (approx),approximate,nearest_office_approx
48249,Jim Wells,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48505,Zapata,CRP,Corpus Christi,108,113,coastal humid HGX-like (approx),approximate,nearest_office_approx
48453,Travis,EWX,Austin/San Antonio,105,110,SR standard / EWX AFD rule-of-thumb,approximate,nearest_office_approx
48227,Howard,MAF,Midland/Odessa,105,110,SR standard arid-west (approx),approximate,nearest_office_approx
