sample,state,variable,variable_label,period,period_note,current_published_counties,current_published_pooled_annual_observations,current_published_median_f,current_published_change_vs_base_f,current_rule_counties,current_rule_pooled_annual_observations,current_rule_median_f,revised_counties,revised_annual_observations_per_county,revised_median_f,revised_median_ci_low_f,revised_median_ci_high_f,revised_iqr_f,revised_change_vs_base_f,revised_change_ci_low_f,revised_change_ci_high_f,absolute_difference_f,percent_difference,change_absolute_difference_f,coverage_criterion,current_aggregation,revised_aggregation
consistent_county,AL,Tmin,Average daily low temperature,1980-1989,,43,369,50.627,0.0,43,369,50.627,27,10,51.23,50.037,52.269,2.624,0.0,0.0,0.0,0.603,1.191,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmin,Average daily low temperature,1990-1999,,43,391,51.492,0.865,43,391,51.492,27,10,52.463,50.791,53.44,3.191,1.233,0.054,1.689,0.971,1.886,0.368,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmin,Average daily low temperature,2000-2009,,43,401,51.54,0.913,43,401,51.54,27,10,51.626,50.508,53.002,3.266,0.396,-0.271,1.509,0.086,0.167,-0.517,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmin,Average daily low temperature,2010-2019,,43,417,52.325,1.697,43,417,52.325,27,10,52.935,52.154,53.876,3.31,1.705,0.963,2.465,0.61,1.166,0.008,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,AL,Tmin,Average daily low temperature,2020-2025,six-year recent period,43,249,53.334,2.707,43,249,53.334,27,6,53.801,52.709,54.494,3.861,2.572,1.548,3.184,0.467,0.876,-0.135,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tavg,Average daily temperature,1980-1989,,49,448,71.556,0.0,49,448,71.556,32,10,72.342,71.032,73.019,3.285,0.0,0.0,0.0,0.786,1.098,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tavg,Average daily temperature,1990-1999,,49,457,72.085,0.529,49,457,72.085,32,10,72.947,71.954,73.617,3.2,0.605,0.228,1.147,0.862,1.196,0.076,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tavg,Average daily temperature,2000-2009,,49,456,71.802,0.246,49,456,71.802,32,10,72.732,71.668,73.287,2.956,0.39,-0.1,1.123,0.93,1.295,0.144,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tavg,Average daily temperature,2010-2019,,49,467,72.529,0.973,49,467,72.529,32,10,73.568,72.215,74.274,2.684,1.226,0.148,1.842,1.039,1.433,0.253,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tavg,Average daily temperature,2020-2025,six-year recent period,49,260,73.605,2.049,49,260,73.605,32,6,74.37,73.173,74.985,2.846,2.029,1.274,2.646,0.765,1.039,-0.02,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmax,Average daily high temperature,1980-1989,,49,466,82.294,0.0,49,466,82.294,37,10,82.413,81.632,83.52,3.01,0.0,0.0,0.0,0.119,0.145,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmax,Average daily high temperature,1990-1999,,49,464,82.494,0.2,49,464,82.4945,37,10,82.685,82.189,83.715,2.726,0.271,-0.011,0.716,0.191,0.232,0.071,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmax,Average daily high temperature,2000-2009,,49,465,82.091,-0.203,49,465,82.091,37,10,82.417,81.342,83.232,3.258,0.004,-0.749,0.517,0.326,0.397,0.207,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmax,Average daily high temperature,2010-2019,,49,468,82.654,0.36,49,468,82.65350000000001,37,10,83.238,81.895,83.671,2.242,0.825,-0.216,1.364,0.584,0.707,0.465,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmax,Average daily high temperature,2020-2025,six-year recent period,49,263,83.462,1.168,49,263,83.462,37,6,83.942,82.918,84.546,3.624,1.528,0.553,2.119,0.48,0.575,0.36,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmin,Average daily low temperature,1980-1989,,49,456,60.477,0.0,49,456,60.477000000000004,34,10,61.448,59.942,62.308,3.739,0.0,0.0,0.0,0.971,1.606,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmin,Average daily low temperature,1990-1999,,49,464,61.636,1.159,49,464,61.6365,34,10,62.624,61.434,63.283,3.337,1.176,0.453,1.662,0.988,1.603,0.017,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmin,Average daily low temperature,2000-2009,,49,460,61.094,0.617,49,460,61.094,34,10,62.878,60.616,63.256,3.445,1.43,-0.011,1.96,1.784,2.92,0.813,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmin,Average daily low temperature,2010-2019,,49,468,62.1,1.623,49,468,62.0995,34,10,63.609,61.608,64.238,4.243,2.161,0.847,2.795,1.509,2.43,0.538,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,FL,Tmin,Average daily low temperature,2020-2025,six-year recent period,49,265,63.763,3.286,49,265,63.763,34,6,64.804,62.434,65.421,4.311,3.356,1.861,3.961,1.041,1.633,0.07,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tavg,Average daily temperature,1980-1989,,36,353,66.415,0.0,36,353,66.415,26,10,66.36,64.988,67.229,2.9,0.0,0.0,0.0,-0.055,-0.083,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tavg,Average daily temperature,1990-1999,,36,343,67.172,0.757,36,343,67.172,26,10,67.095,65.647,67.893,2.879,0.735,0.469,0.971,-0.077,-0.115,-0.022,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tavg,Average daily temperature,2000-2009,,36,343,67.307,0.892,36,343,67.307,26,10,67.549,66.316,68.21,2.394,1.189,0.446,1.493,0.242,0.36,0.297,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tavg,Average daily temperature,2010-2019,,36,334,67.839,1.424,36,334,67.839,26,10,67.642,67.16,68.553,2.287,1.282,0.89,2.242,-0.197,-0.29,-0.142,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tavg,Average daily temperature,2020-2025,six-year recent period,36,183,68.97,2.555,36,183,68.97,26,6,68.896,67.86,69.628,1.989,2.536,2.002,3.506,-0.074,-0.107,-0.019,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmax,Average daily high temperature,1980-1989,,37,363,77.204,0.0,37,363,77.204,26,10,77.212,76.484,77.488,1.517,0.0,0.0,0.0,0.008,0.01,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmax,Average daily high temperature,1990-1999,,37,356,77.273,0.069,37,356,77.27250000000001,26,10,77.47,76.768,77.938,1.411,0.258,-0.327,0.643,0.197,0.255,0.189,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmax,Average daily high temperature,2000-2009,,37,354,77.744,0.54,37,354,77.744,26,10,77.913,77.409,78.358,1.404,0.702,0.375,1.181,0.169,0.217,0.162,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmax,Average daily high temperature,2010-2019,,37,344,78.236,1.032,37,344,78.23599999999999,26,10,78.086,77.77,78.573,1.2,0.875,0.673,1.456,-0.15,-0.192,-0.157,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmax,Average daily high temperature,2020-2025,six-year recent period,37,185,78.959,1.755,37,185,78.959,26,6,79.297,78.868,79.775,1.436,2.085,1.791,2.639,0.338,0.428,0.33,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmin,Average daily low temperature,1980-1989,,37,363,55.959,0.0,37,363,55.959,26,10,55.63,53.542,56.891,4.214,0.0,0.0,0.0,-0.329,-0.588,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmin,Average daily low temperature,1990-1999,,37,353,56.983,1.024,37,353,56.983,26,10,56.784,54.576,58.025,4.434,1.154,0.63,1.45,-0.199,-0.349,0.13,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmin,Average daily low temperature,2000-2009,,37,351,56.721,0.762,37,351,56.721,26,10,56.959,55.154,57.882,3.438,1.33,0.307,1.727,0.238,0.42,0.568,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmin,Average daily low temperature,2010-2019,,37,344,57.476,1.517,37,344,57.4765,26,10,57.018,56.355,58.635,3.145,1.389,1.218,3.078,-0.458,-0.797,-0.128,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,LA,Tmin,Average daily low temperature,2020-2025,six-year recent period,37,184,58.6,2.641,37,184,58.599500000000006,26,6,58.468,57.053,59.885,3.137,2.838,2.037,4.128,-0.132,-0.225,0.197,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tavg,Average daily temperature,1980-1989,,42,364,63.541,0.0,42,364,63.5415,18,10,63.955,62.262,65.105,3.061,0.0,0.0,0.0,0.414,0.652,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tavg,Average daily temperature,1990-1999,,42,333,64.404,0.862,42,333,64.404,18,10,65.017,63.111,65.744,3.087,1.062,0.365,1.538,0.613,0.952,0.2,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tavg,Average daily temperature,2000-2009,,42,362,64.56,1.019,42,362,64.56,18,10,64.806,62.926,66.11,3.59,0.851,0.209,1.571,0.246,0.381,-0.168,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tavg,Average daily temperature,2010-2019,,42,364,65.169,1.628,42,364,65.16900000000001,18,10,65.027,63.881,66.679,3.521,1.072,1.038,2.022,-0.142,-0.218,-0.556,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tavg,Average daily temperature,2020-2025,six-year recent period,42,196,66.288,2.747,42,196,66.2885,18,6,66.453,64.668,67.402,2.988,2.498,1.883,2.992,0.165,0.249,-0.249,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tmax,Average daily high temperature,1980-1989,,43,394,75.044,0.0,43,394,75.0435,25,10,76.045,73.711,76.762,3.171,0.0,0.0,0.0,1.001,1.334,0.0,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tmax,Average daily high temperature,1990-1999,,43,383,75.542,0.498,43,383,75.542,25,10,75.958,73.847,76.891,3.147,-0.087,-0.424,2.027,0.416,0.551,-0.585,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tmax,Average daily high temperature,2000-2009,,43,387,75.981,0.938,43,387,75.981,25,10,76.665,74.626,77.391,3.376,0.62,-0.035,2.549,0.684,0.9,-0.318,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tmax,Average daily high temperature,2010-2019,,43,375,76.241,1.197,43,375,76.241,25,10,76.869,74.978,77.538,2.809,0.825,0.477,2.183,0.628,0.824,-0.372,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
consistent_county,MS,Tmax,Average daily high temperature,2020-2025,six-year recent period,43,201,77.39,2.346,43,201,77.39,25,6,77.902,76.119,78.445,2.803,1.858,1.217,3.599,0.512,0.662,-0.488,1980-1989 >= 8 qualifying years; 1990-1999 >= 8 qualifying years; 2000-2009 >= 8 qualifying years; 2010-2019 >= 8 qualifying years; 2020-2025 >= 5 qualifying years,median over ALL POOLED annual county-level observations; county sample = at least one qualifying year per period,median ACROSS COUNTIES of each county's period mean; one value per county per period
