construct_id,construct_family,season,classified_days,valid_daily_observations,pct_of_classified_days,classified_days_per_1000_valid,season_label,short_label
HYB_TX_P90_D2_A90_W15,hybrid,shoulder,14489,173228,25.0,83.641,May and October,TX-P90-D2+A90
HYB_TX_P90_D2_A90_W15,hybrid,warm,40716,340868,70.26,119.448,June-September,TX-P90-D2+A90
HYB_TX_P90_D3_A80_W15,hybrid,cool,15729,506476,23.77,31.056,November-April,TX-P90-D3+A80
HYB_TX_P90_D3_A80_W15,hybrid,shoulder,16110,173228,24.35,92.999,May and October,TX-P90-D3+A80
HYB_TX_P90_D3_A80_W15,hybrid,warm,34334,340868,51.89,100.725,June-September,TX-P90-D3+A80
HYB_TX_P90_D3_A90_W15,hybrid,cool,1067,506476,2.3,2.107,November-April,TX-P90-D3+A90
HYB_TX_P90_D3_A90_W15,hybrid,shoulder,11076,173228,23.85,63.939,May and October,TX-P90-D3+A90
HYB_TX_P90_D3_A90_W15,hybrid,warm,34305,340868,73.86,100.64,June-September,TX-P90-D3+A90
HYB_TX_P90_D5_A80_W15,hybrid,cool,5956,506476,15.45,11.76,November-April,TX-P90-D5+A80
HYB_TX_P90_D5_A80_W15,hybrid,shoulder,9452,173228,24.52,54.564,May and October,TX-P90-D5+A80
HYB_TX_P90_D5_A80_W15,hybrid,warm,23141,340868,60.03,67.888,June-September,TX-P90-D5+A80
HYB_TX_P90_D5_A90_W15,hybrid,cool,246,506476,0.82,0.486,November-April,TX-P90-D5+A90
HYB_TX_P90_D5_A90_W15,hybrid,shoulder,6559,173228,21.91,37.863,May and October,TX-P90-D5+A90
HYB_TX_P90_D5_A90_W15,hybrid,warm,23134,340868,77.27,67.868,June-September,TX-P90-D5+A90
REL_TX_P80_D2_W15,relative,cool,96311,506476,45.13,190.159,November-April,TX-P80-D2
REL_TX_P80_D2_W15,relative,shoulder,39093,173228,18.32,225.674,May and October,TX-P80-D2
REL_TX_P80_D2_W15,relative,warm,77995,340868,36.55,228.813,June-September,TX-P80-D2
REL_TX_P80_D3_W15,relative,cool,69848,506476,40.62,137.91,November-April,TX-P80-D3
REL_TX_P80_D3_W15,relative,shoulder,32739,173228,19.04,188.994,May and October,TX-P80-D3
REL_TX_P80_D3_W15,relative,warm,69378,340868,40.34,203.533,June-September,TX-P80-D3
REL_TX_P80_D5_W15,relative,cool,32123,506476,29.99,63.425,November-April,TX-P80-D5
REL_TX_P80_D5_W15,relative,shoulder,22486,173228,20.99,129.806,May and October,TX-P80-D5
REL_TX_P80_D5_W15,relative,warm,52509,340868,49.02,154.045,June-September,TX-P80-D5
REL_TX_P85_D2_W15,relative,cool,71346,506476,44.31,140.867,November-April,TX-P85-D2
REL_TX_P85_D2_W15,relative,shoulder,29997,173228,18.63,173.165,May and October,TX-P85-D2
REL_TX_P85_D2_W15,relative,warm,59661,340868,37.06,175.027,June-September,TX-P85-D2
REL_TX_P85_D3_W15,relative,cool,48701,506476,39.02,96.157,November-April,TX-P85-D3
REL_TX_P85_D3_W15,relative,shoulder,24441,173228,19.58,141.092,May and October,TX-P85-D3
REL_TX_P85_D3_W15,relative,warm,51670,340868,41.4,151.584,June-September,TX-P85-D3
REL_TX_P85_D5_W15,relative,cool,21037,506476,28.33,41.536,November-April,TX-P85-D5
REL_TX_P85_D5_W15,relative,shoulder,15741,173228,21.2,90.869,May and October,TX-P85-D5
REL_TX_P85_D5_W15,relative,warm,37486,340868,50.48,109.972,June-September,TX-P85-D5
REL_TX_P90_D2_W15,relative,cool,47079,506476,43.45,92.954,November-April,TX-P90-D2
REL_TX_P90_D2_W15,relative,shoulder,20533,173228,18.95,118.532,May and October,TX-P90-D2
REL_TX_P90_D2_W15,relative,warm,40747,340868,37.6,119.539,June-September,TX-P90-D2
REL_TX_P90_D3_W15,relative,cool,30303,506476,37.52,59.831,November-April,TX-P90-D3
REL_TX_P90_D3_W15,relative,shoulder,16118,173228,19.96,93.045,May and October,TX-P90-D3
REL_TX_P90_D3_W15,relative,warm,34334,340868,42.52,100.725,June-September,TX-P90-D3
REL_TX_P90_D5_W15,relative,cool,12467,506476,27.66,24.615,November-April,TX-P90-D5
REL_TX_P90_D5_W15,relative,shoulder,9463,173228,21.0,54.627,May and October,TX-P90-D5
REL_TX_P90_D5_W15,relative,warm,23141,340868,51.34,67.888,June-September,TX-P90-D5
