state,variable,county_fips,sample
AL,Tmin,01097,consistent_county
AL,Tmin,01101,consistent_county
AL,Tmin,01109,consistent_county
AL,Tmin,01121,consistent_county
AL,Tmin,01125,consistent_county
FL,Tavg,12001,consistent_county
FL,Tavg,12005,consistent_county
FL,Tavg,12009,consistent_county
FL,Tavg,12011,consistent_county
FL,Tavg,12015,consistent_county
FL,Tavg,12021,consistent_county
FL,Tavg,12031,consistent_county
FL,Tavg,12033,consistent_county
FL,Tavg,12037,consistent_county
FL,Tavg,12043,consistent_county
FL,Tavg,12049,consistent_county
FL,Tavg,12053,consistent_county
FL,Tavg,12055,consistent_county
FL,Tavg,12057,consistent_county
FL,Tavg,12061,consistent_county
FL,Tavg,12069,consistent_county
FL,Tavg,12071,consistent_county
FL,Tavg,12073,consistent_county
FL,Tavg,12081,consistent_county
FL,Tavg,12086,consistent_county
FL,Tavg,12087,consistent_county
FL,Tavg,12095,consistent_county
FL,Tavg,12099,consistent_county
FL,Tavg,12101,consistent_county
FL,Tavg,12103,consistent_county
FL,Tavg,12105,consistent_county
FL,Tavg,12109,consistent_county
FL,Tavg,12111,consistent_county
FL,Tavg,12113,consistent_county
FL,Tavg,12115,consistent_county
FL,Tavg,12117,consistent_county
FL,Tavg,12127,consistent_county
FL,Tmax,12001,consistent_county
FL,Tmax,12005,consistent_county
FL,Tmax,12009,consistent_county
FL,Tmax,12011,consistent_county
FL,Tmax,12015,consistent_county
FL,Tmax,12017,consistent_county
FL,Tmax,12021,consistent_county
FL,Tmax,12031,consistent_county
FL,Tmax,12033,consistent_county
FL,Tmax,12037,consistent_county
FL,Tmax,12043,consistent_county
FL,Tmax,12049,consistent_county
FL,Tmax,12053,consistent_county
FL,Tmax,12055,consistent_county
FL,Tmax,12057,consistent_county
FL,Tmax,12061,consistent_county
FL,Tmax,12067,consistent_county
FL,Tmax,12069,consistent_county
FL,Tmax,12071,consistent_county
FL,Tmax,12073,consistent_county
FL,Tmax,12081,consistent_county
FL,Tmax,12083,consistent_county
FL,Tmax,12086,consistent_county
FL,Tmax,12087,consistent_county
FL,Tmax,12091,consistent_county
FL,Tmax,12095,consistent_county
FL,Tmax,12097,consistent_county
FL,Tmax,12099,consistent_county
FL,Tmax,12101,consistent_county
FL,Tmax,12103,consistent_county
FL,Tmax,12105,consistent_county
FL,Tmax,12109,consistent_county
FL,Tmax,12111,consistent_county
FL,Tmax,12113,consistent_county
FL,Tmax,12115,consistent_county
FL,Tmax,12117,consistent_county
FL,Tmax,12127,consistent_county
FL,Tmin,12001,consistent_county
FL,Tmin,12005,consistent_county
FL,Tmin,12009,consistent_county
FL,Tmin,12011,consistent_county
FL,Tmin,12015,consistent_county
FL,Tmin,12021,consistent_county
FL,Tmin,12031,consistent_county
FL,Tmin,12033,consistent_county
FL,Tmin,12037,consistent_county
FL,Tmin,12043,consistent_county
FL,Tmin,12049,consistent_county
FL,Tmin,12051,consistent_county
FL,Tmin,12053,consistent_county
FL,Tmin,12055,consistent_county
FL,Tmin,12057,consistent_county
FL,Tmin,12061,consistent_county
FL,Tmin,12069,consistent_county
FL,Tmin,12071,consistent_county
FL,Tmin,12073,consistent_county
FL,Tmin,12075,consistent_county
FL,Tmin,12081,consistent_county
FL,Tmin,12086,consistent_county
FL,Tmin,12087,consistent_county
FL,Tmin,12095,consistent_county
FL,Tmin,12099,consistent_county
FL,Tmin,12101,consistent_county
FL,Tmin,12103,consistent_county
FL,Tmin,12105,consistent_county
FL,Tmin,12109,consistent_county
FL,Tmin,12111,consistent_county
FL,Tmin,12113,consistent_county
FL,Tmin,12115,consistent_county
FL,Tmin,12117,consistent_county
FL,Tmin,12127,consistent_county
LA,Tavg,22003,consistent_county
LA,Tavg,22007,consistent_county
LA,Tavg,22009,consistent_county
LA,Tavg,22013,consistent_county
LA,Tavg,22015,consistent_county
LA,Tavg,22017,consistent_county
LA,Tavg,22019,consistent_county
LA,Tavg,22027,consistent_county
LA,Tavg,22033,consistent_county
LA,Tavg,22041,consistent_county
LA,Tavg,22045,consistent_county
LA,Tavg,22047,consistent_county
LA,Tavg,22051,consistent_county
LA,Tavg,22053,consistent_county
LA,Tavg,22055,consistent_county
LA,Tavg,22057,consistent_county
LA,Tavg,22065,consistent_county
LA,Tavg,22069,consistent_county
LA,Tavg,22071,consistent_county
LA,Tavg,22073,consistent_county
LA,Tavg,22077,consistent_county
LA,Tavg,22079,consistent_county
LA,Tavg,22085,consistent_county
LA,Tavg,22103,consistent_county
LA,Tavg,22115,consistent_county
LA,Tavg,22127,consistent_county
LA,Tmax,22003,consistent_county
LA,Tmax,22007,consistent_county
LA,Tmax,22009,consistent_county
LA,Tmax,22013,consistent_county
LA,Tmax,22015,consistent_county
LA,Tmax,22017,consistent_county
LA,Tmax,22019,consistent_county
LA,Tmax,22027,consistent_county
LA,Tmax,22033,consistent_county
LA,Tmax,22041,consistent_county
LA,Tmax,22045,consistent_county
LA,Tmax,22047,consistent_county
LA,Tmax,22051,consistent_county
LA,Tmax,22053,consistent_county
LA,Tmax,22055,consistent_county
LA,Tmax,22057,consistent_county
LA,Tmax,22065,consistent_county
LA,Tmax,22069,consistent_county
LA,Tmax,22071,consistent_county
LA,Tmax,22073,consistent_county
LA,Tmax,22077,consistent_county
LA,Tmax,22079,consistent_county
LA,Tmax,22085,consistent_county
LA,Tmax,22103,consistent_county
LA,Tmax,22115,consistent_county
LA,Tmax,22127,consistent_county
LA,Tmin,22003,consistent_county
LA,Tmin,22007,consistent_county
LA,Tmin,22009,consistent_county
LA,Tmin,22013,consistent_county
LA,Tmin,22015,consistent_county
LA,Tmin,22017,consistent_county
LA,Tmin,22019,consistent_county
LA,Tmin,22027,consistent_county
LA,Tmin,22033,consistent_county
LA,Tmin,22041,consistent_county
LA,Tmin,22045,consistent_county
LA,Tmin,22047,consistent_county
LA,Tmin,22051,consistent_county
LA,Tmin,22053,consistent_county
LA,Tmin,22055,consistent_county
LA,Tmin,22057,consistent_county
LA,Tmin,22065,consistent_county
LA,Tmin,22069,consistent_county
LA,Tmin,22071,consistent_county
LA,Tmin,22073,consistent_county
LA,Tmin,22077,consistent_county
LA,Tmin,22079,consistent_county
LA,Tmin,22085,consistent_county
LA,Tmin,22103,consistent_county
LA,Tmin,22115,consistent_county
LA,Tmin,22127,consistent_county
MS,Tavg,28015,consistent_county
MS,Tavg,28029,consistent_county
MS,Tavg,28033,consistent_county
MS,Tavg,28035,consistent_county
MS,Tavg,28045,consistent_county
MS,Tavg,28047,consistent_county
MS,Tavg,28059,consistent_county
MS,Tavg,28071,consistent_county
MS,Tavg,28075,consistent_county
MS,Tavg,28081,consistent_county
MS,Tavg,28087,consistent_county
MS,Tavg,28093,consistent_county
MS,Tavg,28101,consistent_county
MS,Tavg,28111,consistent_county
MS,Tavg,28113,consistent_county
MS,Tavg,28115,consistent_county
MS,Tavg,28121,consistent_county
MS,Tavg,28151,consistent_county
MS,Tmax,28011,consistent_county
MS,Tmax,28015,consistent_county
MS,Tmax,28029,consistent_county
MS,Tmax,28033,consistent_county
MS,Tmax,28035,consistent_county
MS,Tmax,28045,consistent_county
MS,Tmax,28047,consistent_county
MS,Tmax,28049,consistent_county
MS,Tmax,28059,consistent_county
MS,Tmax,28067,consistent_county
MS,Tmax,28071,consistent_county
MS,Tmax,28075,consistent_county
MS,Tmax,28081,consistent_county
MS,Tmax,28087,consistent_county
MS,Tmax,28091,consistent_county
MS,Tmax,28093,consistent_county
MS,Tmax,28101,consistent_county
MS,Tmax,28107,consistent_county
MS,Tmax,28109,consistent_county
MS,Tmax,28111,consistent_county
MS,Tmax,28113,consistent_county
MS,Tmax,28115,consistent_county
MS,Tmax,28121,consistent_county
MS,Tmax,28123,consistent_county
MS,Tmax,28151,consistent_county
MS,Tmin,28015,consistent_county
MS,Tmin,28029,consistent_county
MS,Tmin,28033,consistent_county
MS,Tmin,28035,consistent_county
MS,Tmin,28045,consistent_county
MS,Tmin,28047,consistent_county
MS,Tmin,28059,consistent_county
MS,Tmin,28071,consistent_county
MS,Tmin,28075,consistent_county
MS,Tmin,28081,consistent_county
MS,Tmin,28087,consistent_county
MS,Tmin,28093,consistent_county
MS,Tmin,28101,consistent_county
MS,Tmin,28111,consistent_county
MS,Tmin,28113,consistent_county
MS,Tmin,28115,consistent_county
MS,Tmin,28121,consistent_county
MS,Tmin,28151,consistent_county
TX,Tavg,48001,consistent_county
TX,Tavg,48005,consistent_county
TX,Tavg,48007,consistent_county
TX,Tavg,48013,consistent_county
TX,Tavg,48017,consistent_county
TX,Tavg,48021,consistent_county
TX,Tavg,48023,consistent_county
TX,Tavg,48029,consistent_county
TX,Tavg,48037,consistent_county
TX,Tavg,48039,consistent_county
TX,Tavg,48041,consistent_county
TX,Tavg,48043,consistent_county
TX,Tavg,48045,consistent_county
TX,Tavg,48053,consistent_county
TX,Tavg,48055,consistent_county
TX,Tavg,48059,consistent_county
TX,Tavg,48061,consistent_county
TX,Tavg,48073,consistent_county
TX,Tavg,48075,consistent_county
TX,Tavg,48079,consistent_county
TX,Tavg,48081,consistent_county
TX,Tavg,48083,consistent_county
TX,Tavg,48085,consistent_county
TX,Tavg,48089,consistent_county
TX,Tavg,48095,consistent_county
TX,Tavg,48097,consistent_county
TX,Tavg,48099,consistent_county
TX,Tavg,48101,consistent_county
TX,Tavg,48105,consistent_county
TX,Tavg,48107,consistent_county
TX,Tavg,48113,consistent_county
TX,Tavg,48121,consistent_county
TX,Tavg,48123,consistent_county
TX,Tavg,48127,consistent_county
TX,Tavg,48131,consistent_county
TX,Tavg,48135,consistent_county
TX,Tavg,48139,consistent_county
TX,Tavg,48141,consistent_county
TX,Tavg,48143,consistent_county
TX,Tavg,48147,consistent_county
TX,Tavg,48149,consistent_county
TX,Tavg,48153,consistent_county
TX,Tavg,48157,consistent_county
TX,Tavg,48159,consistent_county
TX,Tavg,48165,consistent_county
TX,Tavg,48167,consistent_county
TX,Tavg,48169,consistent_county
TX,Tavg,48171,consistent_county
TX,Tavg,48177,consistent_county
TX,Tavg,48179,consistent_county
TX,Tavg,48181,consistent_county
TX,Tavg,48189,consistent_county
TX,Tavg,48191,consistent_county
TX,Tavg,48201,consistent_county
TX,Tavg,48205,consistent_county
TX,Tavg,48209,consistent_county
TX,Tavg,48215,consistent_county
TX,Tavg,48219,consistent_county
TX,Tavg,48223,consistent_county
TX,Tavg,48225,consistent_county
TX,Tavg,48229,consistent_county
TX,Tavg,48233,consistent_county
TX,Tavg,48243,consistent_county
TX,Tavg,48245,consistent_county
TX,Tavg,48249,consistent_county
TX,Tavg,48251,consistent_county
TX,Tavg,48253,consistent_county
TX,Tavg,48259,consistent_county
TX,Tavg,48265,consistent_county
TX,Tavg,48273,consistent_county
TX,Tavg,48279,consistent_county
TX,Tavg,48287,consistent_county
TX,Tavg,48289,consistent_county
TX,Tavg,48291,consistent_county
TX,Tavg,48295,consistent_county
TX,Tavg,48303,consistent_county
TX,Tavg,48305,consistent_county
TX,Tavg,48307,consistent_county
TX,Tavg,48309,consistent_county
TX,Tavg,48321,consistent_county
TX,Tavg,48325,consistent_county
TX,Tavg,48327,consistent_county
TX,Tavg,48329,consistent_county
TX,Tavg,48337,consistent_county
TX,Tavg,48343,consistent_county
TX,Tavg,48347,consistent_county
TX,Tavg,48349,consistent_county
TX,Tavg,48351,consistent_county
TX,Tavg,48353,consistent_county
TX,Tavg,48355,consistent_county
TX,Tavg,48359,consistent_county
TX,Tavg,48361,consistent_county
TX,Tavg,48367,consistent_county
TX,Tavg,48369,consistent_county
TX,Tavg,48371,consistent_county
TX,Tavg,48375,consistent_county
TX,Tavg,48377,consistent_county
TX,Tavg,48379,consistent_county
TX,Tavg,48383,consistent_county
TX,Tavg,48385,consistent_county
TX,Tavg,48387,consistent_county
TX,Tavg,48399,consistent_county
TX,Tavg,48401,consistent_county
TX,Tavg,48411,consistent_county
TX,Tavg,48423,consistent_county
TX,Tavg,48427,consistent_county
TX,Tavg,48433,consistent_county
TX,Tavg,48437,consistent_county
TX,Tavg,48439,consistent_county
TX,Tavg,48441,consistent_county
TX,Tavg,48443,consistent_county
TX,Tavg,48445,consistent_county
TX,Tavg,48449,consistent_county
TX,Tavg,48451,consistent_county
TX,Tavg,48453,consistent_county
TX,Tavg,48457,consistent_county
TX,Tavg,48459,consistent_county
TX,Tavg,48465,consistent_county
TX,Tavg,48467,consistent_county
TX,Tavg,48469,consistent_county
TX,Tavg,48471,consistent_county
TX,Tavg,48475,consistent_county
TX,Tavg,48477,consistent_county
TX,Tavg,48479,consistent_county
TX,Tavg,48481,consistent_county
TX,Tavg,48485,consistent_county
TX,Tavg,48491,consistent_county
TX,Tavg,48503,consistent_county
TX,Tmax,48001,consistent_county
TX,Tmax,48005,consistent_county
TX,Tmax,48007,consistent_county
TX,Tmax,48013,consistent_county
TX,Tmax,48017,consistent_county
TX,Tmax,48021,consistent_county
TX,Tmax,48023,consistent_county
TX,Tmax,48025,consistent_county
TX,Tmax,48029,consistent_county
TX,Tmax,48037,consistent_county
TX,Tmax,48039,consistent_county
TX,Tmax,48041,consistent_county
TX,Tmax,48043,consistent_county
TX,Tmax,48045,consistent_county
TX,Tmax,48053,consistent_county
TX,Tmax,48055,consistent_county
TX,Tmax,48059,consistent_county
TX,Tmax,48061,consistent_county
TX,Tmax,48069,consistent_county
TX,Tmax,48073,consistent_county
TX,Tmax,48075,consistent_county
TX,Tmax,48079,consistent_county
TX,Tmax,48081,consistent_county
TX,Tmax,48083,consistent_county
TX,Tmax,48085,consistent_county
TX,Tmax,48089,consistent_county
TX,Tmax,48093,consistent_county
TX,Tmax,48095,consistent_county
TX,Tmax,48097,consistent_county
TX,Tmax,48099,consistent_county
TX,Tmax,48101,consistent_county
TX,Tmax,48105,consistent_county
TX,Tmax,48107,consistent_county
TX,Tmax,48113,consistent_county
TX,Tmax,48121,consistent_county
TX,Tmax,48123,consistent_county
TX,Tmax,48127,consistent_county
TX,Tmax,48131,consistent_county
TX,Tmax,48135,consistent_county
TX,Tmax,48139,consistent_county
TX,Tmax,48141,consistent_county
TX,Tmax,48143,consistent_county
TX,Tmax,48147,consistent_county
TX,Tmax,48149,consistent_county
TX,Tmax,48153,consistent_county
TX,Tmax,48157,consistent_county
TX,Tmax,48159,consistent_county
TX,Tmax,48165,consistent_county
TX,Tmax,48167,consistent_county
TX,Tmax,48169,consistent_county
TX,Tmax,48171,consistent_county
TX,Tmax,48177,consistent_county
TX,Tmax,48179,consistent_county
TX,Tmax,48181,consistent_county
TX,Tmax,48189,consistent_county
TX,Tmax,48191,consistent_county
TX,Tmax,48195,consistent_county
TX,Tmax,48201,consistent_county
TX,Tmax,48203,consistent_county
TX,Tmax,48205,consistent_county
TX,Tmax,48209,consistent_county
TX,Tmax,48215,consistent_county
TX,Tmax,48219,consistent_county
TX,Tmax,48223,consistent_county
TX,Tmax,48225,consistent_county
TX,Tmax,48229,consistent_county
TX,Tmax,48233,consistent_county
TX,Tmax,48243,consistent_county
TX,Tmax,48245,consistent_county
TX,Tmax,48249,consistent_county
TX,Tmax,48251,consistent_county
TX,Tmax,48253,consistent_county
TX,Tmax,48257,consistent_county
TX,Tmax,48259,consistent_county
TX,Tmax,48265,consistent_county
TX,Tmax,48269,consistent_county
TX,Tmax,48273,consistent_county
TX,Tmax,48279,consistent_county
TX,Tmax,48287,consistent_county
TX,Tmax,48289,consistent_county
TX,Tmax,48291,consistent_county
TX,Tmax,48295,consistent_county
TX,Tmax,48299,consistent_county
TX,Tmax,48303,consistent_county
TX,Tmax,48305,consistent_county
TX,Tmax,48307,consistent_county
TX,Tmax,48309,consistent_county
TX,Tmax,48311,consistent_county
TX,Tmax,48321,consistent_county
TX,Tmax,48325,consistent_county
TX,Tmax,48327,consistent_county
TX,Tmax,48329,consistent_county
TX,Tmax,48337,consistent_county
TX,Tmax,48339,consistent_county
TX,Tmax,48343,consistent_county
TX,Tmax,48347,consistent_county
TX,Tmax,48349,consistent_county
TX,Tmax,48351,consistent_county
TX,Tmax,48353,consistent_county
TX,Tmax,48355,consistent_county
TX,Tmax,48359,consistent_county
TX,Tmax,48361,consistent_county
TX,Tmax,48367,consistent_county
TX,Tmax,48369,consistent_county
TX,Tmax,48371,consistent_county
TX,Tmax,48375,consistent_county
TX,Tmax,48377,consistent_county
TX,Tmax,48379,consistent_county
TX,Tmax,48383,consistent_county
TX,Tmax,48385,consistent_county
TX,Tmax,48387,consistent_county
TX,Tmax,48399,consistent_county
TX,Tmax,48401,consistent_county
TX,Tmax,48411,consistent_county
TX,Tmax,48423,consistent_county
TX,Tmax,48425,consistent_county
TX,Tmax,48427,consistent_county
TX,Tmax,48433,consistent_county
TX,Tmax,48437,consistent_county
TX,Tmax,48439,consistent_county
TX,Tmax,48441,consistent_county
TX,Tmax,48443,consistent_county
TX,Tmax,48445,consistent_county
TX,Tmax,48449,consistent_county
TX,Tmax,48451,consistent_county
TX,Tmax,48453,consistent_county
TX,Tmax,48457,consistent_county
TX,Tmax,48459,consistent_county
TX,Tmax,48465,consistent_county
TX,Tmax,48467,consistent_county
TX,Tmax,48469,consistent_county
TX,Tmax,48471,consistent_county
TX,Tmax,48475,consistent_county
TX,Tmax,48477,consistent_county
TX,Tmax,48479,consistent_county
TX,Tmax,48481,consistent_county
TX,Tmax,48485,consistent_county
TX,Tmax,48491,consistent_county
TX,Tmax,48499,consistent_county
TX,Tmax,48503,consistent_county
TX,Tmin,48001,consistent_county
TX,Tmin,48005,consistent_county
TX,Tmin,48007,consistent_county
TX,Tmin,48013,consistent_county
TX,Tmin,48017,consistent_county
TX,Tmin,48021,consistent_county
TX,Tmin,48023,consistent_county
TX,Tmin,48025,consistent_county
TX,Tmin,48029,consistent_county
TX,Tmin,48037,consistent_county
TX,Tmin,48039,consistent_county
TX,Tmin,48041,consistent_county
TX,Tmin,48043,consistent_county
TX,Tmin,48045,consistent_county
TX,Tmin,48053,consistent_county
TX,Tmin,48055,consistent_county
TX,Tmin,48057,consistent_county
TX,Tmin,48059,consistent_county
TX,Tmin,48061,consistent_county
TX,Tmin,48073,consistent_county
TX,Tmin,48075,consistent_county
TX,Tmin,48079,consistent_county
TX,Tmin,48081,consistent_county
TX,Tmin,48083,consistent_county
TX,Tmin,48085,consistent_county
TX,Tmin,48089,consistent_county
TX,Tmin,48095,consistent_county
TX,Tmin,48097,consistent_county
TX,Tmin,48099,consistent_county
TX,Tmin,48101,consistent_county
TX,Tmin,48105,consistent_county
TX,Tmin,48107,consistent_county
TX,Tmin,48113,consistent_county
TX,Tmin,48121,consistent_county
TX,Tmin,48123,consistent_county
TX,Tmin,48127,consistent_county
TX,Tmin,48131,consistent_county
TX,Tmin,48135,consistent_county
TX,Tmin,48139,consistent_county
TX,Tmin,48141,consistent_county
TX,Tmin,48143,consistent_county
TX,Tmin,48147,consistent_county
TX,Tmin,48149,consistent_county
TX,Tmin,48153,consistent_county
TX,Tmin,48157,consistent_county
TX,Tmin,48159,consistent_county
TX,Tmin,48165,consistent_county
TX,Tmin,48167,consistent_county
TX,Tmin,48169,consistent_county
TX,Tmin,48171,consistent_county
TX,Tmin,48177,consistent_county
TX,Tmin,48179,consistent_county
TX,Tmin,48181,consistent_county
TX,Tmin,48189,consistent_county
TX,Tmin,48191,consistent_county
TX,Tmin,48201,consistent_county
TX,Tmin,48205,consistent_county
TX,Tmin,48209,consistent_county
TX,Tmin,48215,consistent_county
TX,Tmin,48217,consistent_county
TX,Tmin,48219,consistent_county
TX,Tmin,48223,consistent_county
TX,Tmin,48225,consistent_county
TX,Tmin,48229,consistent_county
TX,Tmin,48233,consistent_county
TX,Tmin,48243,consistent_county
TX,Tmin,48245,consistent_county
TX,Tmin,48249,consistent_county
TX,Tmin,48251,consistent_county
TX,Tmin,48253,consistent_county
TX,Tmin,48259,consistent_county
TX,Tmin,48265,consistent_county
TX,Tmin,48269,consistent_county
TX,Tmin,48273,consistent_county
TX,Tmin,48279,consistent_county
TX,Tmin,48285,consistent_county
TX,Tmin,48287,consistent_county
TX,Tmin,48289,consistent_county
TX,Tmin,48291,consistent_county
TX,Tmin,48295,consistent_county
TX,Tmin,48303,consistent_county
TX,Tmin,48305,consistent_county
TX,Tmin,48307,consistent_county
TX,Tmin,48309,consistent_county
TX,Tmin,48321,consistent_county
TX,Tmin,48325,consistent_county
TX,Tmin,48327,consistent_county
TX,Tmin,48329,consistent_county
TX,Tmin,48337,consistent_county
TX,Tmin,48339,consistent_county
TX,Tmin,48343,consistent_county
TX,Tmin,48347,consistent_county
TX,Tmin,48349,consistent_county
TX,Tmin,48351,consistent_county
TX,Tmin,48353,consistent_county
TX,Tmin,48355,consistent_county
TX,Tmin,48359,consistent_county
TX,Tmin,48361,consistent_county
TX,Tmin,48367,consistent_county
TX,Tmin,48369,consistent_county
TX,Tmin,48371,consistent_county
TX,Tmin,48375,consistent_county
TX,Tmin,48377,consistent_county
TX,Tmin,48379,consistent_county
TX,Tmin,48383,consistent_county
TX,Tmin,48385,consistent_county
TX,Tmin,48387,consistent_county
TX,Tmin,48399,consistent_county
TX,Tmin,48401,consistent_county
TX,Tmin,48411,consistent_county
TX,Tmin,48423,consistent_county
TX,Tmin,48427,consistent_county
TX,Tmin,48433,consistent_county
TX,Tmin,48437,consistent_county
TX,Tmin,48439,consistent_county
TX,Tmin,48441,consistent_county
TX,Tmin,48443,consistent_county
TX,Tmin,48445,consistent_county
TX,Tmin,48449,consistent_county
TX,Tmin,48451,consistent_county
TX,Tmin,48453,consistent_county
TX,Tmin,48457,consistent_county
TX,Tmin,48459,consistent_county
TX,Tmin,48465,consistent_county
TX,Tmin,48467,consistent_county
TX,Tmin,48469,consistent_county
TX,Tmin,48471,consistent_county
TX,Tmin,48475,consistent_county
TX,Tmin,48477,consistent_county
TX,Tmin,48479,consistent_county
TX,Tmin,48481,consistent_county
TX,Tmin,48485,consistent_county
TX,Tmin,48491,consistent_county
TX,Tmin,48497,consistent_county
TX,Tmin,48503,consistent_county
AL,Tavg,01003,strict_balanced
AL,Tavg,01005,strict_balanced
AL,Tavg,01007,strict_balanced
AL,Tavg,01011,strict_balanced
AL,Tavg,01015,strict_balanced
AL,Tavg,01017,strict_balanced
AL,Tavg,01021,strict_balanced
AL,Tavg,01025,strict_balanced
AL,Tavg,01033,strict_balanced
AL,Tavg,01035,strict_balanced
AL,Tavg,01041,strict_balanced
AL,Tavg,01043,strict_balanced
AL,Tavg,01045,strict_balanced
AL,Tavg,01047,strict_balanced
AL,Tavg,01049,strict_balanced
AL,Tavg,01053,strict_balanced
AL,Tavg,01061,strict_balanced
AL,Tavg,01063,strict_balanced
AL,Tavg,01071,strict_balanced
AL,Tavg,01073,strict_balanced
AL,Tavg,01079,strict_balanced
AL,Tavg,01081,strict_balanced
AL,Tavg,01083,strict_balanced
AL,Tavg,01089,strict_balanced
AL,Tavg,01093,strict_balanced
AL,Tavg,01097,strict_balanced
AL,Tavg,01101,strict_balanced
AL,Tavg,01109,strict_balanced
AL,Tavg,01121,strict_balanced
AL,Tavg,01125,strict_balanced
AL,Tmax,01003,strict_balanced
AL,Tmax,01005,strict_balanced
AL,Tmax,01007,strict_balanced
AL,Tmax,01011,strict_balanced
AL,Tmax,01015,strict_balanced
AL,Tmax,01017,strict_balanced
AL,Tmax,01021,strict_balanced
AL,Tmax,01025,strict_balanced
AL,Tmax,01029,strict_balanced
AL,Tmax,01033,strict_balanced
AL,Tmax,01035,strict_balanced
AL,Tmax,01039,strict_balanced
AL,Tmax,01041,strict_balanced
AL,Tmax,01043,strict_balanced
AL,Tmax,01045,strict_balanced
AL,Tmax,01047,strict_balanced
AL,Tmax,01049,strict_balanced
AL,Tmax,01053,strict_balanced
AL,Tmax,01055,strict_balanced
AL,Tmax,01057,strict_balanced
AL,Tmax,01059,strict_balanced
AL,Tmax,01061,strict_balanced
AL,Tmax,01063,strict_balanced
AL,Tmax,01071,strict_balanced
AL,Tmax,01073,strict_balanced
AL,Tmax,01079,strict_balanced
AL,Tmax,01081,strict_balanced
AL,Tmax,01083,strict_balanced
AL,Tmax,01089,strict_balanced
AL,Tmax,01093,strict_balanced
AL,Tmax,01097,strict_balanced
AL,Tmax,01101,strict_balanced
AL,Tmax,01109,strict_balanced
AL,Tmax,01121,strict_balanced
AL,Tmax,01125,strict_balanced
AL,Tmin,01003,strict_balanced
AL,Tmin,01005,strict_balanced
AL,Tmin,01007,strict_balanced
AL,Tmin,01011,strict_balanced
AL,Tmin,01015,strict_balanced
AL,Tmin,01017,strict_balanced
AL,Tmin,01021,strict_balanced
AL,Tmin,01025,strict_balanced
AL,Tmin,01033,strict_balanced
AL,Tmin,01035,strict_balanced
AL,Tmin,01039,strict_balanced
AL,Tmin,01041,strict_balanced
AL,Tmin,01043,strict_balanced
AL,Tmin,01045,strict_balanced
AL,Tmin,01047,strict_balanced
AL,Tmin,01049,strict_balanced
AL,Tmin,01053,strict_balanced
AL,Tmin,01061,strict_balanced
AL,Tmin,01063,strict_balanced
AL,Tmin,01065,strict_balanced
AL,Tmin,01071,strict_balanced
AL,Tmin,01073,strict_balanced
AL,Tmin,01079,strict_balanced
AL,Tmin,01081,strict_balanced
AL,Tmin,01083,strict_balanced
