state,variable,month,period,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,monthly_summaries_used,sample,counties_in_both_periods,median_paired_county_difference_f,p25_paired_difference_f,p75_paired_difference_f,month_name,season,variable_label,base_period
AL,Tavg,12,2010-2019,26,49.018,46.2,51.877,260,consistent_county,26,3.169,2.712,3.778,Dec,cool,Average daily temperature,1980-1989
AL,Tavg,12,2020-2025,26,49.652,47.275,51.835,156,consistent_county,26,3.613,2.9,4.373,Dec,cool,Average daily temperature,1980-1989
AL,Tmax,1,1980-1989,28,53.531,51.142,57.154,275,consistent_county,28,0.0,0.0,0.0,Jan,cool,Average daily high temperature,1980-1989
AL,Tmax,1,1990-1999,28,56.467,53.718,58.909,279,consistent_county,28,2.439,1.907,2.916,Jan,cool,Average daily high temperature,1980-1989
AL,Tmax,1,2000-2009,28,56.561,53.559,59.701,278,consistent_county,28,2.567,2.326,3.477,Jan,cool,Average daily high temperature,1980-1989
AL,Tmax,1,2010-2019,28,55.449,51.724,59.054,280,consistent_county,28,1.701,0.899,2.233,Jan,cool,Average daily high temperature,1980-1989
AL,Tmax,1,2020-2025,28,56.731,52.319,59.884,167,consistent_county,28,3.033,2.206,3.541,Jan,cool,Average daily high temperature,1980-1989
AL,Tmax,2,1980-1989,28,58.362,55.733,61.558,277,consistent_county,28,0.0,0.0,0.0,Feb,cool,Average daily high temperature,1980-1989
AL,Tmax,2,1990-1999,28,61.278,58.952,63.575,280,consistent_county,28,2.306,1.933,3.12,Feb,cool,Average daily high temperature,1980-1989
AL,Tmax,2,2000-2009,28,60.392,57.313,63.175,279,consistent_county,28,1.622,1.254,2.157,Feb,cool,Average daily high temperature,1980-1989
AL,Tmax,2,2010-2019,28,60.77,56.784,64.488,280,consistent_county,28,2.375,1.052,2.659,Feb,cool,Average daily high temperature,1980-1989
AL,Tmax,2,2020-2025,28,63.474,59.337,66.537,167,consistent_county,28,4.694,3.579,5.575,Feb,cool,Average daily high temperature,1980-1989
AL,Tmax,3,1980-1989,28,67.1,65.515,69.534,277,consistent_county,28,0.0,0.0,0.0,Mar,cool,Average daily high temperature,1980-1989
AL,Tmax,3,1990-1999,28,67.737,65.625,69.42,280,consistent_county,28,-0.021,-0.421,0.328,Mar,cool,Average daily high temperature,1980-1989
AL,Tmax,3,2000-2009,28,69.059,66.84,71.103,279,consistent_county,28,1.489,1.085,1.843,Mar,cool,Average daily high temperature,1980-1989
AL,Tmax,3,2010-2019,28,68.132,65.405,70.67,280,consistent_county,28,0.651,-0.057,1.268,Mar,cool,Average daily high temperature,1980-1989
AL,Tmax,3,2020-2025,28,71.247,68.751,73.833,168,consistent_county,28,3.978,3.284,4.652,Mar,cool,Average daily high temperature,1980-1989
AL,Tmax,4,1980-1989,28,74.869,73.518,76.38,274,consistent_county,28,0.0,0.0,0.0,Apr,cool,Average daily high temperature,1980-1989
AL,Tmax,4,1990-1999,28,74.958,73.957,75.921,279,consistent_county,28,0.073,-0.587,0.425,Apr,cool,Average daily high temperature,1980-1989
AL,Tmax,4,2000-2009,28,75.978,74.26,77.429,279,consistent_county,28,0.791,0.355,1.304,Apr,cool,Average daily high temperature,1980-1989
AL,Tmax,4,2010-2019,28,76.552,74.816,77.693,278,consistent_county,28,1.524,0.987,2.426,Apr,cool,Average daily high temperature,1980-1989
AL,Tmax,4,2020-2025,28,76.153,72.988,77.711,168,consistent_county,28,1.053,0.189,1.547,Apr,cool,Average daily high temperature,1980-1989
AL,Tmax,5,1980-1989,28,82.328,80.888,83.384,277,consistent_county,28,0.0,0.0,0.0,May,shoulder,Average daily high temperature,1980-1989
AL,Tmax,5,1990-1999,28,82.33,80.755,83.104,278,consistent_county,28,-0.114,-0.33,0.41,May,shoulder,Average daily high temperature,1980-1989
AL,Tmax,5,2000-2009,28,83.032,80.962,84.615,278,consistent_county,28,0.757,0.378,1.166,May,shoulder,Average daily high temperature,1980-1989
AL,Tmax,5,2010-2019,28,83.252,81.551,84.513,278,consistent_county,28,1.183,0.671,1.865,May,shoulder,Average daily high temperature,1980-1989
AL,Tmax,5,2020-2025,28,82.438,80.022,84.008,168,consistent_county,28,-0.034,-0.586,0.598,May,shoulder,Average daily high temperature,1980-1989
AL,Tmax,6,1980-1989,28,88.842,87.811,89.753,278,consistent_county,28,0.0,0.0,0.0,Jun,warm,Average daily high temperature,1980-1989
AL,Tmax,6,1990-1999,28,87.261,86.521,88.116,278,consistent_county,28,-1.361,-1.827,-0.928,Jun,warm,Average daily high temperature,1980-1989
AL,Tmax,6,2000-2009,28,88.674,87.781,89.91,277,consistent_county,28,0.075,-0.398,0.487,Jun,warm,Average daily high temperature,1980-1989
AL,Tmax,6,2010-2019,28,89.285,88.493,90.189,279,consistent_county,28,0.527,-0.094,1.301,Jun,warm,Average daily high temperature,1980-1989
AL,Tmax,6,2020-2025,28,88.577,87.111,89.712,168,consistent_county,28,-0.336,-0.945,0.196,Jun,warm,Average daily high temperature,1980-1989
AL,Tmax,7,1980-1989,28,91.289,90.434,91.717,277,consistent_county,28,0.0,0.0,0.0,Jul,warm,Average daily high temperature,1980-1989
AL,Tmax,7,1990-1999,28,90.439,89.94,91.351,277,consistent_county,28,-0.545,-0.739,-0.088,Jul,warm,Average daily high temperature,1980-1989
AL,Tmax,7,2000-2009,28,90.961,89.733,91.669,278,consistent_county,28,-0.453,-0.929,0.207,Jul,warm,Average daily high temperature,1980-1989
AL,Tmax,7,2010-2019,28,90.671,89.988,91.656,280,consistent_county,28,-0.252,-0.846,0.152,Jul,warm,Average daily high temperature,1980-1989
AL,Tmax,7,2020-2025,28,90.544,89.959,91.472,167,consistent_county,28,-0.506,-1.236,0.212,Jul,warm,Average daily high temperature,1980-1989
AL,Tmax,8,1980-1989,28,90.613,90.117,91.067,279,consistent_county,28,0.0,0.0,0.0,Aug,warm,Average daily high temperature,1980-1989
AL,Tmax,8,1990-1999,28,89.986,89.523,90.813,276,consistent_county,28,-0.411,-0.924,0.225,Aug,warm,Average daily high temperature,1980-1989
AL,Tmax,8,2000-2009,28,90.864,90.242,91.327,278,consistent_county,28,0.115,-0.245,0.588,Aug,warm,Average daily high temperature,1980-1989
AL,Tmax,8,2010-2019,28,90.512,89.46,91.25,280,consistent_county,28,-0.324,-0.816,0.664,Aug,warm,Average daily high temperature,1980-1989
AL,Tmax,8,2020-2025,28,90.742,89.145,91.48,168,consistent_county,28,-0.377,-1.338,0.595,Aug,warm,Average daily high temperature,1980-1989
AL,Tmax,9,1980-1989,28,85.923,84.364,86.507,278,consistent_county,28,0.0,0.0,0.0,Sep,warm,Average daily high temperature,1980-1989
AL,Tmax,9,1990-1999,28,86.054,85.282,86.829,278,consistent_county,28,0.582,-0.006,1.222,Sep,warm,Average daily high temperature,1980-1989
AL,Tmax,9,2000-2009,28,85.708,84.472,86.45,278,consistent_county,28,-0.053,-0.537,0.629,Sep,warm,Average daily high temperature,1980-1989
AL,Tmax,9,2010-2019,28,87.821,86.069,88.552,280,consistent_county,28,2.02,1.288,2.698,Sep,warm,Average daily high temperature,1980-1989
AL,Tmax,9,2020-2025,28,85.877,83.957,86.918,167,consistent_county,28,0.08,-0.574,0.592,Sep,warm,Average daily high temperature,1980-1989
AL,Tmax,10,1980-1989,28,75.782,74.127,77.977,278,consistent_county,28,0.0,0.0,0.0,Oct,shoulder,Average daily high temperature,1980-1989
AL,Tmax,10,1990-1999,28,76.693,74.861,77.609,278,consistent_county,28,0.309,-0.15,0.868,Oct,shoulder,Average daily high temperature,1980-1989
AL,Tmax,10,2000-2009,28,76.648,75.158,78.147,280,consistent_county,28,0.363,-0.091,0.99,Oct,shoulder,Average daily high temperature,1980-1989
AL,Tmax,10,2010-2019,28,78.228,75.957,80.095,280,consistent_county,28,2.031,1.362,2.647,Oct,shoulder,Average daily high temperature,1980-1989
AL,Tmax,10,2020-2025,28,78.265,75.568,79.698,167,consistent_county,28,2.008,1.287,2.529,Oct,shoulder,Average daily high temperature,1980-1989
AL,Tmax,11,1980-1989,28,67.403,65.38,70.126,278,consistent_county,28,0.0,0.0,0.0,Nov,cool,Average daily high temperature,1980-1989
AL,Tmax,11,1990-1999,28,66.329,63.944,68.089,278,consistent_county,28,-1.748,-2.095,-1.439,Nov,cool,Average daily high temperature,1980-1989
AL,Tmax,11,2000-2009,28,67.122,65.284,69.138,278,consistent_county,28,-0.479,-1.072,0.19,Nov,cool,Average daily high temperature,1980-1989
AL,Tmax,11,2010-2019,28,65.902,63.212,69.206,280,consistent_county,28,-1.512,-2.225,-0.743,Nov,cool,Average daily high temperature,1980-1989
AL,Tmax,11,2020-2025,28,68.249,65.911,70.666,168,consistent_county,28,0.847,0.197,1.393,Nov,cool,Average daily high temperature,1980-1989
AL,Tmax,12,1980-1989,28,56.988,54.41,60.282,276,consistent_county,28,0.0,0.0,0.0,Dec,cool,Average daily high temperature,1980-1989
AL,Tmax,12,1990-1999,28,58.402,56.365,60.892,280,consistent_county,28,1.304,0.936,1.605,Dec,cool,Average daily high temperature,1980-1989
AL,Tmax,12,2000-2009,28,57.581,54.656,60.289,280,consistent_county,28,0.393,-0.081,0.843,Dec,cool,Average daily high temperature,1980-1989
AL,Tmax,12,2010-2019,28,59.245,55.856,63.11,280,consistent_county,28,2.561,1.692,2.994,Dec,cool,Average daily high temperature,1980-1989
AL,Tmax,12,2020-2025,28,60.779,58.342,63.437,167,consistent_county,28,3.826,2.729,4.472,Dec,cool,Average daily high temperature,1980-1989
AL,Tmin,1,1980-1989,27,31.372,29.334,33.439,265,consistent_county,27,0.0,0.0,0.0,Jan,cool,Average daily low temperature,1980-1989
AL,Tmin,1,1990-1999,27,35.56,33.299,37.39,269,consistent_county,27,4.093,3.204,4.879,Jan,cool,Average daily low temperature,1980-1989
AL,Tmin,1,2000-2009,27,33.7,31.732,36.022,267,consistent_county,27,2.667,1.753,3.364,Jan,cool,Average daily low temperature,1980-1989
AL,Tmin,1,2010-2019,27,33.493,30.705,35.421,269,consistent_county,27,1.929,1.088,2.854,Jan,cool,Average daily low temperature,1980-1989
AL,Tmin,1,2020-2025,27,34.637,32.119,37.029,162,consistent_county,27,3.305,2.544,4.639,Jan,cool,Average daily low temperature,1980-1989
AL,Tmin,2,1980-1989,27,35.422,33.652,37.733,264,consistent_county,27,0.0,0.0,0.0,Feb,cool,Average daily low temperature,1980-1989
AL,Tmin,2,1990-1999,27,38.337,36.002,40.321,269,consistent_county,27,2.412,1.879,3.086,Feb,cool,Average daily low temperature,1980-1989
AL,Tmin,2,2000-2009,27,35.614,33.917,38.334,268,consistent_county,27,0.489,-0.391,1.423,Feb,cool,Average daily low temperature,1980-1989
AL,Tmin,2,2010-2019,27,38.724,35.694,40.907,270,consistent_county,27,3.096,2.303,3.693,Feb,cool,Average daily low temperature,1980-1989
AL,Tmin,2,2020-2025,27,39.91,36.846,42.694,161,consistent_county,27,4.115,3.702,5.23,Feb,cool,Average daily low temperature,1980-1989
AL,Tmin,3,1980-1989,27,42.518,41.002,44.452,266,consistent_county,27,0.0,0.0,0.0,Mar,cool,Average daily low temperature,1980-1989
AL,Tmin,3,1990-1999,27,42.868,40.594,44.646,270,consistent_county,27,0.11,-0.497,0.566,Mar,cool,Average daily low temperature,1980-1989
AL,Tmin,3,2000-2009,27,43.286,41.741,45.588,269,consistent_county,27,0.949,0.165,1.977,Mar,cool,Average daily low temperature,1980-1989
AL,Tmin,3,2010-2019,27,44.28,41.452,45.738,270,consistent_county,27,1.528,0.74,2.142,Mar,cool,Average daily low temperature,1980-1989
AL,Tmin,3,2020-2025,27,46.748,44.623,49.385,162,consistent_county,27,4.48,3.46,5.093,Mar,cool,Average daily low temperature,1980-1989
AL,Tmin,4,1980-1989,27,48.746,47.462,50.274,265,consistent_county,27,0.0,0.0,0.0,Apr,cool,Average daily low temperature,1980-1989
AL,Tmin,4,1990-1999,27,49.703,48.095,50.865,268,consistent_county,27,0.67,0.136,1.491,Apr,cool,Average daily low temperature,1980-1989
AL,Tmin,4,2000-2009,27,49.829,48.399,51.44,268,consistent_county,27,1.374,0.391,2.147,Apr,cool,Average daily low temperature,1980-1989
AL,Tmin,4,2010-2019,27,51.49,49.427,52.692,269,consistent_county,27,2.512,1.945,3.089,Apr,cool,Average daily low temperature,1980-1989
AL,Tmin,4,2020-2025,27,51.315,48.929,52.933,162,consistent_county,27,2.342,1.56,3.139,Apr,cool,Average daily low temperature,1980-1989
AL,Tmin,5,1980-1989,27,58.173,57.003,59.094,264,consistent_county,27,0.0,0.0,0.0,May,shoulder,Average daily low temperature,1980-1989
AL,Tmin,5,1990-1999,27,58.827,57.12,60.05,268,consistent_county,27,0.372,-0.05,1.249,May,shoulder,Average daily low temperature,1980-1989
AL,Tmin,5,2000-2009,27,59.165,57.852,60.66,267,consistent_county,27,1.497,0.871,2.079,May,shoulder,Average daily low temperature,1980-1989
AL,Tmin,5,2010-2019,27,59.809,58.771,60.793,269,consistent_county,27,1.649,1.252,2.431,May,shoulder,Average daily low temperature,1980-1989
AL,Tmin,5,2020-2025,27,60.869,58.687,61.563,162,consistent_county,27,2.484,1.958,3.221,May,shoulder,Average daily low temperature,1980-1989
AL,Tmin,6,1980-1989,27,66.122,65.015,66.923,268,consistent_county,27,0.0,0.0,0.0,Jun,warm,Average daily low temperature,1980-1989
AL,Tmin,6,1990-1999,27,66.53,65.226,67.521,268,consistent_county,27,0.637,-0.284,0.881,Jun,warm,Average daily low temperature,1980-1989
AL,Tmin,6,2000-2009,27,66.279,64.879,67.645,264,consistent_county,27,0.661,0.034,1.224,Jun,warm,Average daily low temperature,1980-1989
AL,Tmin,6,2010-2019,27,68.313,66.882,68.887,269,consistent_county,27,2.229,1.517,2.871,Jun,warm,Average daily low temperature,1980-1989
AL,Tmin,6,2020-2025,27,67.972,66.167,68.611,162,consistent_county,27,1.955,1.306,2.404,Jun,warm,Average daily low temperature,1980-1989
AL,Tmin,7,1980-1989,27,69.38,68.643,70.357,266,consistent_county,27,0.0,0.0,0.0,Jul,warm,Average daily low temperature,1980-1989
AL,Tmin,7,1990-1999,27,70.058,69.173,71.132,267,consistent_county,27,0.698,0.14,1.382,Jul,warm,Average daily low temperature,1980-1989
AL,Tmin,7,2000-2009,27,69.435,68.212,70.63,267,consistent_county,27,0.244,-0.144,0.722,Jul,warm,Average daily low temperature,1980-1989
AL,Tmin,7,2010-2019,27,70.722,69.901,71.334,270,consistent_county,27,1.408,0.737,1.886,Jul,warm,Average daily low temperature,1980-1989
AL,Tmin,7,2020-2025,27,71.631,70.765,72.26,161,consistent_county,27,2.225,1.909,2.792,Jul,warm,Average daily low temperature,1980-1989
AL,Tmin,8,1980-1989,27,69.04,67.842,69.856,268,consistent_county,27,0.0,0.0,0.0,Aug,warm,Average daily low temperature,1980-1989
AL,Tmin,8,1990-1999,27,68.848,67.513,69.935,266,consistent_county,27,-0.103,-0.498,0.639,Aug,warm,Average daily low temperature,1980-1989
AL,Tmin,8,2000-2009,27,69.494,68.378,70.499,269,consistent_county,27,0.814,0.266,1.171,Aug,warm,Average daily low temperature,1980-1989
AL,Tmin,8,2010-2019,27,70.116,68.554,70.826,270,consistent_county,27,1.25,0.584,1.798,Aug,warm,Average daily low temperature,1980-1989
AL,Tmin,8,2020-2025,27,70.593,68.515,71.2,162,consistent_county,27,1.464,1.164,2.208,Aug,warm,Average daily low temperature,1980-1989
AL,Tmin,9,1980-1989,27,62.858,60.959,63.402,266,consistent_county,27,0.0,0.0,0.0,Sep,warm,Average daily low temperature,1980-1989
AL,Tmin,9,1990-1999,27,63.173,60.959,64.4,268,consistent_county,27,0.579,-0.09,1.046,Sep,warm,Average daily low temperature,1980-1989
AL,Tmin,9,2000-2009,27,64.422,61.948,65.585,268,consistent_county,27,1.925,0.978,2.508,Sep,warm,Average daily low temperature,1980-1989
AL,Tmin,9,2010-2019,27,65.025,62.639,65.966,270,consistent_county,27,2.509,1.704,3.083,Sep,warm,Average daily low temperature,1980-1989
AL,Tmin,9,2020-2025,27,65.028,62.437,65.678,161,consistent_county,27,2.238,1.386,2.887,Sep,warm,Average daily low temperature,1980-1989
AL,Tmin,10,1980-1989,27,51.633,49.262,52.217,266,consistent_county,27,0.0,0.0,0.0,Oct,shoulder,Average daily low temperature,1980-1989
AL,Tmin,10,1990-1999,27,51.551,49.294,53.584,267,consistent_county,27,0.496,0.103,1.329,Oct,shoulder,Average daily low temperature,1980-1989
AL,Tmin,10,2000-2009,27,52.373,50.12,53.958,269,consistent_county,27,1.526,0.643,2.488,Oct,shoulder,Average daily low temperature,1980-1989
AL,Tmin,10,2010-2019,27,52.818,50.223,54.306,269,consistent_county,27,1.793,0.994,2.688,Oct,shoulder,Average daily low temperature,1980-1989
AL,Tmin,10,2020-2025,27,53.545,51.414,54.612,161,consistent_county,27,2.409,1.531,3.643,Oct,shoulder,Average daily low temperature,1980-1989
AL,Tmin,11,1980-1989,27,43.52,41.987,45.369,266,consistent_county,27,0.0,0.0,0.0,Nov,cool,Average daily low temperature,1980-1989
AL,Tmin,11,1990-1999,27,41.033,39.434,43.305,265,consistent_county,27,-2.183,-3.026,-1.261,Nov,cool,Average daily low temperature,1980-1989
AL,Tmin,11,2000-2009,27,41.995,40.243,43.483,267,consistent_county,27,-1.269,-2.22,-0.48,Nov,cool,Average daily low temperature,1980-1989
AL,Tmin,11,2010-2019,27,40.916,38.49,42.834,270,consistent_county,27,-2.051,-3.292,-1.666,Nov,cool,Average daily low temperature,1980-1989
AL,Tmin,11,2020-2025,27,43.962,41.91,46.168,162,consistent_county,27,1.024,-0.466,1.784,Nov,cool,Average daily low temperature,1980-1989
AL,Tmin,12,1980-1989,27,34.859,33.208,37.115,266,consistent_county,27,0.0,0.0,0.0,Dec,cool,Average daily low temperature,1980-1989
AL,Tmin,12,1990-1999,27,37.189,35.142,39.095,268,consistent_county,27,2.435,1.345,3.019,Dec,cool,Average daily low temperature,1980-1989
AL,Tmin,12,2000-2009,27,34.646,32.682,36.686,268,consistent_county,27,-0.024,-0.75,0.701,Dec,cool,Average daily low temperature,1980-1989
AL,Tmin,12,2010-2019,27,38.779,36.454,40.937,270,consistent_county,27,3.828,3.204,4.667,Dec,cool,Average daily low temperature,1980-1989
AL,Tmin,12,2020-2025,27,38.582,36.508,40.462,162,consistent_county,27,3.723,2.845,4.209,Dec,cool,Average daily low temperature,1980-1989
FL,Tavg,1,1980-1989,32,59.218,55.124,61.345,319,consistent_county,32,0.0,0.0,0.0,Jan,cool,Average daily temperature,1980-1989
FL,Tavg,1,1990-1999,32,62.684,59.127,64.477,316,consistent_county,32,3.433,3.064,3.73,Jan,cool,Average daily temperature,1980-1989
FL,Tavg,1,2000-2009,32,60.363,57.324,61.351,319,consistent_county,32,1.271,0.826,1.866,Jan,cool,Average daily temperature,1980-1989
FL,Tavg,1,2010-2019,32,60.36,56.618,62.277,318,consistent_county,32,1.487,0.875,1.872,Jan,cool,Average daily temperature,1980-1989
FL,Tavg,1,2020-2025,32,61.201,57.977,63.502,191,consistent_county,32,2.6,2.075,3.015,Jan,cool,Average daily temperature,1980-1989
