definition_A,definition_B,n_A_eligible_dates,n_B_eligible_dates,n_common_eligible_dates,eligibility_jaccard,fraction_A_eligible_also_eligible_B,fraction_B_eligible_also_eligible_A,n_classified_by_A,n_classified_by_B,n_classified_by_both,n_classified_by_either,n_A_only_positive,n_B_only_positive,jaccard_common_eligibility
TMAX_P85_D3_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,48778,39175,134412,85634,9603,0.291455
TMAX_P85_D3_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,124812,169006,87228,206590,37584,81778,0.422228
TMAX_P85_D3_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,124812,117437,74570,167679,50242,42867,0.444719
TMAX_P85_D3_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,124812,70965,52869,142908,71943,18096,0.369951
TMAX_P85_D3_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,124812,31294,26341,129765,98471,4953,0.20299
TMAX_P85_D3_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,124812,13903,12362,126353,112450,1541,0.097837
TMAX_P85_D3_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,169000,87222,206587,37587,81778,0.422205
TMAX_P85_D3_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,117431,74564,167676,50245,42867,0.444691
TMAX_P85_D3_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,70959,52863,142905,71946,18096,0.369917
TMAX_P85_D3_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,31288,26335,129762,98474,4953,0.202948
TMAX_P85_D3_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,124809,13898,12357,126350,112452,1541,0.0978
TMAX_P90_D3_W15,TMAX_P95_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,80755,38876,38876,80755,41879,0,0.481407
TMAX_P90_D3_W15,TMAX_P975_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,80755,19142,19142,80755,61613,0,0.237038
TMAX_P90_D3_W15,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,80755,161004,80755,161004,0,80249,0.501571
TMAX_P90_D3_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,80755,108359,80755,108359,0,27604,0.745254
TMAX_P90_D3_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,80755,56576,48444,88887,32311,8132,0.545007
TMAX_P90_D3_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,159664,67700,172716,13052,91964,0.391973
TMAX_P90_D3_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,102725,57366,126111,23386,45359,0.454885
TMAX_P90_D3_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,48778,34108,95422,46644,14670,0.357444
TMAX_P90_D3_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,80755,169006,57987,191774,22768,111019,0.302372
TMAX_P90_D3_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,80755,117437,51273,146919,29482,66164,0.348988
TMAX_P90_D3_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,80755,70965,41496,110224,39259,29469,0.37647
TMAX_P90_D3_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,80755,31294,23115,88934,57640,8179,0.259912
TMAX_P90_D3_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,80755,13903,11320,83338,69435,2583,0.135832
TMAX_P90_D3_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,169000,57983,191769,22769,111017,0.302359
TMAX_P90_D3_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,117431,51269,146914,29483,66162,0.348973
TMAX_P90_D3_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,70959,41491,110220,39261,29468,0.376438
TMAX_P90_D3_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,31288,23109,88931,57643,8179,0.259853
TMAX_P90_D3_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,80752,13898,11315,83335,69437,2583,0.135777
TMAX_P95_D3_W15,TMAX_P975_D3_W15,1020572,1020572,1020572,1.0,1.0,1.0,38876,19142,19142,38876,19734,0,0.492386
TMAX_P95_D3_W15,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,38876,161004,38876,161004,0,122128,0.24146
TMAX_P95_D3_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,38876,108359,38876,108359,0,69483,0.35877
TMAX_P95_D3_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,38876,56576,38876,56576,0,17700,0.687146
TMAX_P95_D3_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,159664,34585,163953,4289,125079,0.210945
TMAX_P95_D3_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,102725,30956,110643,7918,71769,0.279783
TMAX_P95_D3_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,48778,23278,64374,15596,25500,0.361606
TMAX_P95_D3_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,38876,169006,28271,179611,10605,140735,0.157401
TMAX_P95_D3_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,38876,117437,25374,130939,13502,92063,0.193785
TMAX_P95_D3_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,38876,70965,21720,88121,17156,49245,0.246479
TMAX_P95_D3_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,38876,31294,15841,54329,23035,15453,0.291575
TMAX_P95_D3_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,38876,13903,9032,43747,29844,4871,0.20646
TMAX_P95_D3_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,169000,28268,179606,10606,140732,0.157389
TMAX_P95_D3_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,117431,25371,130934,13503,92060,0.193769
TMAX_P95_D3_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,70959,21717,88116,17157,49242,0.246459
TMAX_P95_D3_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,31288,15837,54325,23037,15451,0.291523
TMAX_P95_D3_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,38874,13898,9027,43745,29847,4871,0.206355
TMAX_P975_D3_W15,TMAX_P85_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,19142,161004,19142,161004,0,141862,0.118891
TMAX_P975_D3_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,19142,108359,19142,108359,0,89217,0.176654
TMAX_P975_D3_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,19142,56576,19142,56576,0,37434,0.338341
TMAX_P975_D3_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,159664,17669,161136,1472,141995,0.109653
TMAX_P975_D3_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,102725,16159,105707,2982,86566,0.152866
TMAX_P975_D3_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,48778,12951,54968,6190,35827,0.23561
TMAX_P975_D3_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,19142,169006,13900,174248,5242,155106,0.079771
TMAX_P975_D3_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,19142,117437,12538,124041,6604,104899,0.101079
TMAX_P975_D3_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,19142,70965,10897,79210,8245,60068,0.137571
TMAX_P975_D3_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,19142,31294,8620,41816,10522,22674,0.206141
TMAX_P975_D3_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,19142,13903,6336,26709,12806,7567,0.237223
TMAX_P975_D3_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,169000,13899,174242,5242,155101,0.079768
TMAX_P975_D3_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,117431,12537,124035,6604,104894,0.101076
TMAX_P975_D3_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,70959,10896,79204,8245,60063,0.137569
TMAX_P975_D3_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,31288,8618,41811,10523,22670,0.206118
TMAX_P975_D3_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,19141,13898,6334,26705,12807,7564,0.237184
TMAX_P85_D2_W15,TMAX_P90_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,161004,108359,108359,161004,52645,0,0.673021
TMAX_P85_D2_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,161004,56576,56576,161004,104428,0,0.351395
TMAX_P85_D2_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,159664,125157,195508,35844,34507,0.640163
TMAX_P85_D2_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,102725,88832,174894,72169,13893,0.507919
TMAX_P85_D2_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,48778,44741,165038,116260,4037,0.271095
TMAX_P85_D2_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,161004,169006,116054,213956,44950,52952,0.54242
TMAX_P85_D2_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,161004,117437,98504,179937,62500,18933,0.547436
TMAX_P85_D2_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,161004,70965,66030,165939,94974,4935,0.397917
TMAX_P85_D2_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,161004,31294,30372,161926,130632,922,0.187567
TMAX_P85_D2_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,161004,13903,13671,161236,147333,232,0.084789
TMAX_P85_D2_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,169000,116048,213953,44953,52952,0.542399
TMAX_P85_D2_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,117431,98498,179934,62503,18933,0.547412
TMAX_P85_D2_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,70959,66024,165936,94977,4935,0.397888
TMAX_P85_D2_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,31288,30366,161923,130635,922,0.187534
TMAX_P85_D2_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,13898,13666,161233,147335,232,0.084759
TMAX_P90_D2_W15,TMAX_P95_D2_W15,1020572,1020572,1020572,1.0,1.0,1.0,108359,56576,56576,108359,51783,0,0.522116
TMAX_P90_D2_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,159664,92048,175972,16308,67616,0.523083
TMAX_P90_D2_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,102725,77274,133807,31082,25451,0.577503
TMAX_P90_D2_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,48778,42238,114896,66118,6540,0.367619
TMAX_P90_D2_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,108359,169006,80956,196409,27403,88050,0.412181
TMAX_P90_D2_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,108359,117437,71912,153884,36447,45525,0.467313
TMAX_P90_D2_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,108359,70965,57773,121551,50586,13192,0.475298
TMAX_P90_D2_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,108359,31294,29365,110288,78994,1929,0.266257
TMAX_P90_D2_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,108359,13903,13480,108782,94879,423,0.123918
TMAX_P90_D2_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,169000,80952,196404,27404,88048,0.412171
TMAX_P90_D2_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,117431,71908,153879,36448,45523,0.467302
TMAX_P90_D2_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,70959,57768,121547,50588,13191,0.475273
TMAX_P90_D2_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,31288,29359,110285,78997,1929,0.26621
TMAX_P90_D2_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,13898,13475,108779,94881,423,0.123875
TMAX_P95_D2_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,159664,51045,165193,5529,108619,0.309002
TMAX_P95_D2_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,102725,46234,113065,10340,56491,0.408915
TMAX_P95_D2_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,48778,34659,70693,21915,14119,0.490275
TMAX_P95_D2_W15,HIXENV_P80_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,56576,169006,43474,182108,13102,125532,0.238726
TMAX_P95_D2_W15,HIXENV_P85_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,56576,117437,39588,134425,16988,77849,0.294499
TMAX_P95_D2_W15,HIXENV_P90_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,56576,70965,34217,93324,22359,36748,0.366647
TMAX_P95_D2_W15,HIXENV_P95_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,56576,31294,24664,63206,31912,6630,0.390216
TMAX_P95_D2_W15,HIXENV_P975_D2_W15_RAW,1020572,1020572,1020572,1.0,1.0,1.0,56576,13903,12740,57739,43836,1163,0.220648
TMAX_P95_D2_W15,HIXENV_P80_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,169000,43471,182103,13103,125529,0.238717
TMAX_P95_D2_W15,HIXENV_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,117431,39585,134420,16989,77846,0.294487
TMAX_P95_D2_W15,HIXENV_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,70959,34214,93319,22360,36745,0.366635
TMAX_P95_D2_W15,HIXENV_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,31288,24660,63202,31914,6628,0.390178
TMAX_P95_D2_W15,HIXENV_P975_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,13898,12735,57737,43839,1163,0.220569
HIPROXY_P85_D2_W15_CONFEXCL,HIPROXY_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,102725,102725,159664,56939,0,0.643382
HIPROXY_P85_D2_W15_CONFEXCL,HIPROXY_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,48778,48778,159664,110886,0,0.305504
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,159664,169003,123244,205423,36420,45759,0.599952
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,159664,117434,102697,174401,56967,14737,0.588856
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,159664,70962,67095,163531,92569,3867,0.410289
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,159664,31291,30680,160275,128984,611,0.191421
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,159664,13901,13784,159781,145880,117,0.086268
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,169000,123244,205420,36420,45756,0.599961
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,117431,102697,174398,56967,14734,0.588866
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,70959,67094,163529,92570,3865,0.410288
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,31288,30678,160274,128986,610,0.19141
HIPROXY_P85_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,159664,13898,13782,159780,145882,116,0.086256
HIPROXY_P90_D2_W15_CONFEXCL,HIPROXY_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,48778,48778,102725,53947,0,0.474841
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,102725,169003,86489,185239,16236,82514,0.466905
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,102725,117434,76565,143594,26160,40869,0.533205
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,102725,70962,59996,113691,42729,10966,0.527711
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,102725,31291,29661,104355,73064,1630,0.284232
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,102725,13901,13568,103058,89157,333,0.131654
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,169000,86489,185236,16236,82511,0.466912
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,117431,76565,143591,26160,40866,0.533216
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,70959,59996,113688,42729,10963,0.527725
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,31288,29660,104353,73065,1628,0.284228
HIPROXY_P90_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,102725,13898,13566,103057,89159,332,0.131636
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,48778,169003,44589,173192,4189,124414,0.257454
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,48778,117434,41392,124820,7386,76042,0.331614
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,48778,70962,35987,83753,12791,34975,0.42968
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P95_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,48778,31291,25109,54960,23669,6182,0.45686
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P975_D2_W15_RAW,1020569,1020572,1020569,0.999997,1.0,0.999997,48778,13901,12635,50044,36143,1266,0.252478
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P80_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,48778,169000,44589,173189,4189,124411,0.257459
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P85_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,48778,117431,41392,124817,7386,76039,0.331621
HIPROXY_P95_D2_W15_CONFEXCL,HIXENV_P90_D2_W15_CONFEXCL,1020569,1020569,1020569,1.0,1.0,1.0,48778,70959,35987,83750,12791,34972,0.429696
