construct_id,dropped_baseline_year,n_counties,threshold_full_sample_mean_f,threshold_leave_one_year_out_mean_f,threshold_max_abs_diff_f,threshold_leave_one_year_out_sd_f,candidate_day_change_count,final_classified_day_change_count,event_start_change_count,event_end_change_count,event_count_change,note
HIXENV_P975_D2_W15_CONFEXCL,1981,3,121.8223,121.6196,5.4596,0.7121,2,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1982,3,121.8223,121.8064,3.5241,0.330111,1,0,0,0,1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1983,3,121.8223,121.8237,5.8547,0.449656,2,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1984,3,121.8223,121.8864,3.255,0.289011,0,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1985,3,121.8223,121.7556,3.9983,0.498697,1,0,0,0,0,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1986,3,121.8223,121.873,5.5131,0.336272,0,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1987,3,121.8223,121.8052,6.3628,0.516513,1,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1988,3,121.8223,121.7606,5.1806,0.436058,1,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1989,3,121.8223,121.8144,4.1506,0.334976,0,0,0,0,3,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1990,3,121.8223,121.8608,4.3237,0.373631,1,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1991,3,121.8223,121.904,3.2012,0.285622,0,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1992,3,121.8223,121.8865,4.0612,0.29511,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1993,3,121.8223,121.92,2.8572,0.21944,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1994,3,121.8223,121.8411,4.7621,0.304472,1,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1995,3,121.8223,121.8585,3.6708,0.298592,0,0,0,0,3,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1996,3,121.8223,121.6996,8.6944,0.654188,3,0,0,0,1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1997,3,121.8223,121.8,6.2401,0.472798,0,0,0,0,2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1998,3,121.8223,121.4037,8.0869,0.944982,7,0,0,0,5,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,1999,3,121.8223,121.7888,3.4754,0.370983,0,0,0,0,4,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2000,3,121.8223,121.6467,8.9387,0.802216,0,0,0,0,7,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2001,3,121.8223,121.9132,2.8572,0.228714,1,0,0,0,0,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2002,3,121.8223,121.8962,3.8139,0.285597,1,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2003,3,121.8223,121.8541,4.4419,0.33649,2,0,0,0,1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2004,3,121.8223,121.8946,4.1512,0.384832,0,0,0,0,0,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2005,3,121.8223,121.718,9.1439,0.700825,3,2,2,3,1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2006,3,121.8223,121.83,4.3933,0.341674,0,0,0,0,1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2007,3,121.8223,121.9393,6.0305,0.231026,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2008,3,121.8223,121.9329,2.8572,0.214239,1,0,0,0,0,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2009,3,121.8223,121.7993,8.597,0.651154,0,0,0,0,2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2010,3,121.8223,121.9149,4.6886,0.26083,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2011,3,121.8223,121.7476,7.515,0.683275,5,4,3,4,2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2012,3,121.8223,121.8796,6.0305,0.370448,0,0,0,0,-1,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2013,3,121.8223,121.9148,4.4071,0.266032,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
HIXENV_P975_D2_W15_CONFEXCL,2014,3,121.8223,121.9192,2.8572,0.227187,0,0,0,0,-2,"zero change is an acceptable, reportable empirical result"
