table,table_purpose,column,reader_facing_label,definition,unit,dtype,documentation_source,documented,note
absolute_gate_effect.csv,what each absolute gate does to each relative definition,p90_county_retention_pct,P90 county retention pct,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,geographic_spread_of_retention_pct,Geographic spread of retention pct,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_june_september_no_gate,June-September share,share of classified days falling in June-September,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_june_september_with_gate,June-September share,share of classified days falling in June-September,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_may_and_october_no_gate,May and October share,share of classified days falling in May or October,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_may_and_october_with_gate,May and October share,share of classified days falling in May or October,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_november_april_no_gate,November-April share,share of classified days falling in November-April,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,pct_days_november_april_with_gate,November-April share,share of classified days falling in November-April,percent,float64,pattern,True,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,warm_season_rate_no_gate,Warm season rate no gate,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,warm_season_rate_with_gate,Warm season rate with gate,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,cool_season_rate_no_gate,Cool season rate no gate,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,cool_season_rate_with_gate,Cool season rate with gate,,,float64,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,construct_change,Construct change,,,str,undocumented,False,
absolute_gate_effect.csv,what each absolute gate does to each relative definition,gate_note,Note,free-text qualification attached to the row,,str,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,absolute_construct,Construct,construct identifier,,str,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,absolute_label,Label,reader-facing short label,,str,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,absolute_gate_f,Absolute gate,absolute daily-high gate; NOT a National Weather Service advisory threshold,degF,float64,exact,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,duration_days,Minimum duration,minimum number of consecutive qualifying days,days,int64,exact,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,relative_construct,Construct,construct identifier,,str,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,relative_label,Label,reader-facing short label,,str,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,percentile,Percentile,percentile of the county- and calendar-date-specific historical daily-high distribution,percentile,int64,exact,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,threshold_window,Threshold window,how baseline days are pooled to estimate the threshold,,str,exact,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,median_annual_classified_days_absolute,Median annual classified days,median across annual county-level observations of the classified-day count,records,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,median_annual_classified_days_relative,Median annual classified days,median across annual county-level observations of the classified-day count,records,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,median_annual_event_count_absolute,Median annual events,median across annual county-level observations of the event count,events,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,median_annual_event_count_relative,Median annual events,median across annual county-level observations of the event count,events,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,rate_per_1000_absolute,Rate per 1000 absolute,,,float64,undocumented,False,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,rate_per_1000_relative,Rate per 1000 relative,,,float64,undocumented,False,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,pct_days_june_september_absolute,June-September share,share of classified days falling in June-September,percent,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,pct_days_june_september_relative,June-September share,share of classified days falling in June-September,percent,float64,pattern,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,county_dates_shared,County dates shared,,,int64,undocumented,False,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,county_dates_absolute_only,County dates absolute only,,,int64,undocumented,False,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,county_dates_relative_only,County dates relative only,,,int64,undocumented,False,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,jaccard,Jaccard overlap,agreement between two constructs on the set of classified county-dates; not accuracy,0 to 1,float64,exact,True,
absolute_vs_relative.csv,absolute constructs against matched relative constructs,interpretation,Interpretation,how the row should and should not be read,,str,pattern,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,count,Count,number of values in the distribution,records,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,mean,Mean,arithmetic mean of the distribution,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,std,Standard deviation,standard deviation of the distribution,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,min,Minimum,smallest value,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,10%,10th percentile,10th percentile,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,25%,25th percentile,25th percentile,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,50%,Median,median,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,75%,75th percentile,75th percentile,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,90%,90th percentile,90th percentile,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,max,Maximum,largest value,,float64,distribution,True,
annual_event_count_distribution.csv,distribution of annual county-level event counts,short_label,Construct,"figure label carrying metric, percentile and duration",,str,exact,True,
benchmark_comparison_summary.csv,status of each required external comparison,comparison,Comparison,,,str,undocumented,False,
benchmark_comparison_summary.csv,status of each required external comparison,comparison_label,Label,reader-facing short label,,str,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,available,Available,,,bool,undocumented,False,
benchmark_comparison_summary.csv,status of each required external comparison,benchmark_product,Benchmark product,,,str,undocumented,False,
benchmark_comparison_summary.csv,status of each required external comparison,benchmark_years,Benchmark years,,,str,undocumented,False,
benchmark_comparison_summary.csv,status of each required external comparison,project_median_f,Temperature,temperature or temperature difference,degF,float64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,benchmark_median_f,Temperature,temperature or temperature difference,degF,float64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,median_difference_f,Temperature,temperature or temperature difference,degF,float64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,mean_absolute_difference_f,Temperature,temperature or temperature difference,degF,float64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,correlation_across_counties,Counties,number of counties,counties,float64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,counties_matched,Counties,number of counties,counties,int64,pattern,True,
benchmark_comparison_summary.csv,status of each required external comparison,reason,Reason,,,str,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",short_label,Construct,"figure label carrying metric, percentile and duration",,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",reader_name,Definition,the construct written out in plain language,,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",legacy_definition_id,Legacy identifier,the identifier the current package files this construct under,,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",percentile,Percentile,percentile of the county- and calendar-date-specific historical daily-high distribution,percentile,float64,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",duration_days,Minimum duration,minimum number of consecutive qualifying days,days,int64,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",absolute_gate_f,Absolute gate,absolute daily-high gate; NOT a National Weather Service advisory threshold,degF,float64,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",threshold_window,Threshold window,how baseline days are pooled to estimate the threshold,,str,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",day_label,Label,reader-facing short label,,str,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",median_annual_classified_days,Median annual classified days,median across annual county-level observations of the classified-day count,records,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",p25_annual_classified_days,Classified days,county-dates classified by the construct,records,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",p75_annual_classified_days,Classified days,county-dates classified by the construct,records,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",median_annual_event_count,Median annual events,median across annual county-level observations of the event count,events,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",p25_annual_event_count,P25 annual event count,,,float64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",p75_annual_event_count,P75 annual event count,,,float64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",max_annual_event_count,Max annual event count,,,int64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",median_cumulative_classified_days_per_county,Median cumulative classified days per county,,,float64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",counties_with_any_classified_day,Counties,number of counties,counties,int64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",median_event_duration_days,Median event duration,"median across events of the integer duration; a median may fall between two integers, no event lasts a fraction of a day",days,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",p75_event_duration_days,P75 event duration days,,,float64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",max_event_duration_days,Max event duration days,,,int64,undocumented,False,
construct_summary.csv,"one row per construct, county-level quantities first",pct_days_june_september,June-September share,share of classified days falling in June-September,percent,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",pct_days_may_and_october,May and October share,share of classified days falling in May or October,percent,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",pct_days_november_april,November-April share,share of classified days falling in November-April,percent,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",peak_month,Peak month,calendar month carrying the most classified days,,str,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",classified_days_per_1000_valid,Classification rate,"classified days per 1,000 valid daily county-level observations","per 1,000",float64,exact,True,
construct_summary.csv,"one row per construct, county-level quantities first",valid_daily_observations,Valid daily county-level observations,valid daily county-level observations used as the denominator,records,int64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",pct_classified_days_imputed,Percentage,percentage,percent,float64,pattern,True,
construct_summary.csv,"one row per construct, county-level quantities first",classified_county_dates_QA,Pooled total (QA),"pooled statewide total; a QA quantity, never a substantive result",records,int64,pattern,True,pooled statewide QA quantity; never a substantive result
construct_summary.csv,"one row per construct, county-level quantities first",events_QA,Pooled total (QA),"pooled statewide total; a QA quantity, never a substantive result",records,int64,pattern,True,pooled statewide QA quantity; never a substantive result
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,county_name,County,county name,,str,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,year,Year,calendar year,year,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,annual_event_count,Events,events beginning in the year,events,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,annual_classified_day_count,Classified days,county-dates classified by this construct in the year,records,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,longest_event_duration_days,Longest event,longest event in the year,days,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,first_event_start_date,First event,start date of the first event of the year,date,str,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,last_event_end_date,Last event,end date of the last event of the year,date,str,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,imputed_classified_day_count,Gap-filled,classified days whose temperature was gap-filled,records,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,valid_daily_observation_count,Valid daily county-level observations,number of valid daily county-level observations behind this summary,records,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,annual_classification_rate_per_1000,Classification rate,"classified days per 1,000 valid daily county-level observations","per 1,000",float64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,HWN_annual_event_count,HWN,published-index crosswalk: annual number of distinct events,events,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,HWF_annual_days_in_events,HWF,published-index crosswalk: annual number of days participating in events,days,int64,exact,True,
county_annual_absolute_hot_spells.csv,annual county-level absolute hot-spell summary,HWD_longest_event_duration_days,HWD,published-index crosswalk: longest event duration. NOT the median event duration,days,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,county_name,County,county name,,str,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,year,Year,calendar year,year,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,annual_event_count,Events,events beginning in the year,events,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,annual_classified_day_count,Classified days,county-dates classified by this construct in the year,records,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,longest_event_duration_days,Longest event,longest event in the year,days,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,first_event_start_date,First event,start date of the first event of the year,date,str,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,last_event_end_date,Last event,end date of the last event of the year,date,str,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,imputed_classified_day_count,Gap-filled,classified days whose temperature was gap-filled,records,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,valid_daily_observation_count,Valid daily county-level observations,number of valid daily county-level observations behind this summary,records,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,annual_classification_rate_per_1000,Classification rate,"classified days per 1,000 valid daily county-level observations","per 1,000",float64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,HWN_annual_event_count,HWN,published-index crosswalk: annual number of distinct events,events,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,HWF_annual_days_in_events,HWF,published-index crosswalk: annual number of days participating in events,days,int64,exact,True,
county_annual_all_constructs.csv,annual county-level summary for all 60 constructs,HWD_longest_event_duration_days,HWD,published-index crosswalk: longest event duration. NOT the median event duration,days,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,county_name,County,county name,,str,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,year,Year,calendar year,year,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,annual_event_count,Events,events beginning in the year,events,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,annual_classified_day_count,Classified days,county-dates classified by this construct in the year,records,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,longest_event_duration_days,Longest event,longest event in the year,days,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,first_event_start_date,First event,start date of the first event of the year,date,str,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,last_event_end_date,Last event,end date of the last event of the year,date,str,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,imputed_classified_day_count,Gap-filled,classified days whose temperature was gap-filled,records,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,valid_daily_observation_count,Valid daily county-level observations,number of valid daily county-level observations behind this summary,records,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,annual_classification_rate_per_1000,Classification rate,"classified days per 1,000 valid daily county-level observations","per 1,000",float64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,HWN_annual_event_count,HWN,published-index crosswalk: annual number of distinct events,events,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,HWF_annual_days_in_events,HWF,published-index crosswalk: annual number of days participating in events,days,int64,exact,True,
county_annual_hybrid_heat_events.csv,annual county-level hybrid heat-event summary,HWD_longest_event_duration_days,HWD,published-index crosswalk: longest event duration. NOT the median event duration,days,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,construct_id,Construct,"revised construct identifier; TX denotes the daily maximum temperature, NOT the state",,str,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,construct_family,Construct family,"relative, hybrid or absolute",,str,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,county_name,County,county name,,str,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,year,Year,calendar year,year,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,annual_event_count,Events,events beginning in the year,events,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,annual_classified_day_count,Classified days,county-dates classified by this construct in the year,records,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,longest_event_duration_days,Longest event,longest event in the year,days,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,first_event_start_date,First event,start date of the first event of the year,date,str,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,last_event_end_date,Last event,end date of the last event of the year,date,str,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,imputed_classified_day_count,Gap-filled,classified days whose temperature was gap-filled,records,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,valid_daily_observation_count,Valid daily county-level observations,number of valid daily county-level observations behind this summary,records,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,annual_classification_rate_per_1000,Classification rate,"classified days per 1,000 valid daily county-level observations","per 1,000",float64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,HWN_annual_event_count,HWN,published-index crosswalk: annual number of distinct events,events,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,HWF_annual_days_in_events,HWF,published-index crosswalk: annual number of days participating in events,days,int64,exact,True,
county_annual_relative_warm_spells.csv,annual county-level relative warm-spell summary,HWD_longest_event_duration_days,HWD,published-index crosswalk: longest event duration. NOT the median event duration,days,int64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",state,State,state abbreviation,,str,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",county_name,County,county name,,str,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",year,Year,calendar year,year,int64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",valid_daily_observation_count,Valid daily county-level observations,number of valid daily county-level observations behind this summary,records,int64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",period_mean_f,Average temperature,mean of the daily values over the summary period,degF,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",period_median_f,Median daily temperature,median of the daily values over the summary period,degF,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",daily_min_f,Lowest daily value,lowest single daily value in the period,degF,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",daily_max_f,Highest daily value,highest single daily value in the period,degF,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",daily_p95_f,95th-percentile daily value,95th percentile of the daily values in the period,degF,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",mean_contributing_stations,Contributing stations,mean number of reporting stations behind the county's daily values,stations,float64,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",min_contributing_stations,Minimum stations,fewest reporting stations on any day of the event,stations,float64,pattern,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",max_contributing_stations,Maximum stations,most reporting stations on any day of the event,stations,float64,pattern,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",variable,Temperature variable,"Tmax, Tmin or Tavg",,str,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",variable_label,Temperature variable,reader-facing variable name,,str,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",meets_annual_coverage_requirement,Meets coverage,at least 328 valid daily county-level observations in the year,,bool,exact,True,
county_annual_temperature.csv,"annual county-level temperature observations, five states",period,Period,comparison period,,str,exact,True,
county_data_quality.csv,per-county gap-filling and subset membership,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_data_quality.csv,per-county gap-filling and subset membership,county_name,County,county name,,str,exact,True,
county_data_quality.csv,per-county gap-filling and subset membership,analysis_days,Analysis days,daily county-level records in the classification window,records,int64,pattern,True,
county_data_quality.csv,per-county gap-filling and subset membership,temp_imputed_days,Temp imputed days,,,int64,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,pct_analysis_days_imputed,Gap-filled,share of the county's daily records that were gap-filled by inverse-distance weighting,percent,float64,exact,True,
county_data_quality.csv,per-county gap-filling and subset membership,native_analysis_days,Analysis days,daily county-level records in the classification window,records,int64,pattern,True,
county_data_quality.csv,per-county gap-filling and subset membership,fully_imputed_county,Fully gap-filled,the county has no observed temperature at all in the study period,,bool,exact,True,
county_data_quality.csv,per-county gap-filling and subset membership,observed_share,Observed share,,,float64,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,any_observed,Any observed,,,bool,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,imputation_lt_20pct,Imputation lt 20pct,,,bool,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,imputation_lt_10pct,Imputation lt 10pct,,,bool,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,not_fully_imputed,Not fully imputed,,,bool,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,anchor_stations,Anchor stations,,,bool,undocumented,False,
county_data_quality.csv,per-county gap-filling and subset membership,all_counties,Counties,number of counties,counties,bool,pattern,True,
county_data_quality.csv,per-county gap-filling and subset membership,data_quality_label,Data quality,reader-facing data-quality band for the county,,str,exact,True,
county_gate_effect.csv,per-county geography of the absolute gate,county_fips,County,five-digit county FIPS code,,int64,exact,True,
county_gate_effect.csv,per-county geography of the absolute gate,relative_construct,Construct,construct identifier,,str,pattern,True,
county_gate_effect.csv,per-county geography of the absolute gate,hybrid_construct,Construct,construct identifier,,str,pattern,True,
county_gate_effect.csv,per-county geography of the absolute gate,label,Label,reader-facing short label,,str,pattern,True,
county_gate_effect.csv,per-county geography of the absolute gate,percentile,Percentile,percentile of the county- and calendar-date-specific historical daily-high distribution,percentile,int64,exact,True,
county_gate_effect.csv,per-county geography of the absolute gate,duration_days,Minimum duration,minimum number of consecutive qualifying days,days,int64,exact,True,
county_gate_effect.csv,per-county geography of the absolute gate,absolute_gate_f,Absolute gate,absolute daily-high gate; NOT a National Weather Service advisory threshold,degF,float64,exact,True,
county_gate_effect.csv,per-county geography of the absolute gate,cumulative_classified_days_no_gate,Cumulative classified days no gate,,,int64,undocumented,False,
