construct_id,construct_family,reader_facing_name,legacy_definition_id,legacy_window,metric,metric_reader_label,percentile,minimum_duration_days,absolute_gate_f,threshold_window,threshold_window_label,baseline,relative_comparison_operator,absolute_gate_operator,season_rule,formula,day_label,event_label,state,analysis_years,input_table,HWN,HWF,HWD,is_a_heatwave,naming_note,gate_note
REL_TX_P80_D5_MON,relative,"County-specific 80th-percentile Tmax warm spell, minimum duration five days",TMAX_P80_5D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,5,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 80th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P80_D5_MONPM7,relative,"County-specific 80th-percentile Tmax warm spell, minimum duration five days",TMAX_P80_5D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,5,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 80th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D2_W05,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration two days",TMAX_P85_2D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D2_W15,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration two days",TMAX_P85_2D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D2_MON,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration two days",TMAX_P85_2D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D2_MONPM7,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration two days",TMAX_P85_2D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,2,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D3_W05,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration three days",TMAX_P85_3D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D3_W15,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration three days",TMAX_P85_3D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D3_MON,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration three days",TMAX_P85_3D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D3_MONPM7,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration three days",TMAX_P85_3D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,3,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D5_W05,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration five days",TMAX_P85_5D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D5_W15,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration five days",TMAX_P85_5D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D5_MON,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration five days",TMAX_P85_5D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P85_D5_MONPM7,relative,"County-specific 85th-percentile Tmax warm spell, minimum duration five days",TMAX_P85_5D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,85.0,5,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 85th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D2_W05,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration two days",TMAX_P90_2D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D2_W15,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration two days",TMAX_P90_2D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D2_MON,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration two days",TMAX_P90_2D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D2_MONPM7,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration two days",TMAX_P90_2D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,2,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 2 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D3_W05,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration three days",TMAX_P90_3D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D3_W15,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration three days",TMAX_P90_3D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D3_MON,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration three days",TMAX_P90_3D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D3_MONPM7,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration three days",TMAX_P90_3D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,3,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 3 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D5_W05,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration five days",TMAX_P90_5D,w05,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,,w05,centred 5-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D5_W15,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration five days",TMAX_P90_5D,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D5_MON,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration five days",TMAX_P90_5D,month,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,,month,calendar-month window,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
REL_TX_P90_D5_MONPM7,relative,"County-specific 90th-percentile Tmax warm spell, minimum duration five days",TMAX_P90_5D,month_pm7,daily maximum air temperature (ETCCDI TX),Daily high temperature,90.0,5,,month_pm7,calendar month extended 7 days each side,"walk-forward, 1979 to the year before the classified year",>,,year round,"daily high > county- and calendar-date-specific historical 90th percentile, for at least 5 consecutive days",relative warm-spell day,relative warm spell,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),no - year-round relative construct with no absolute heat condition,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",
HYB_TX_P80_D2_A80_W15,hybrid,"County-specific 80th-percentile Tmax event with a 80 degF absolute gate, minimum duration two days",TMAX_P80_2D_F80,w15,daily maximum air temperature (ETCCDI TX),Daily high temperature,80.0,2,80.0,w15,centred 15-day calendar window,"walk-forward, 1979 to the year before the classified year",>,>=,year round,"(daily high > county- and calendar-date-specific historical 80th percentile) AND (daily high >= 80 degF), for at least 2 consecutive days",hybrid heat-event day,hybrid relative-and-absolute heat event,TX,2015-2025,gap-filled county-day table (outputs/TX/county_daily_heat.csv),annual number of distinct events,annual number of days participating in events,longest event duration (NOT the median event duration),part - relative anomaly AND an absolute daily-high gate,"TX in the identifier is the ETCCDI symbol for the daily maximum temperature, not the state abbreviation. This construct is not TX90p: TX90p is a warm-day FREQUENCY index and does not encode event duration.",80 degF and 90 degF are absolute daily-high gates chosen for this sensitivity test. They are NOT National Weather Service advisory thresholds.
